"acceleration","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","Attribute10","Attribute11","Attribute12","Attribute13","Attribute14"
3.9,"nominal2","nominal7",5707,390,"nominal9",3.9,9999,9999,9999,320,1.42,70.1,43.3,2.788
4,"nominal3","nominal7",5707,390,"nominal9",4.2,9999,9999,9999,335,1.9,70.1,43.3,2.788
4,"nominal3","nominal7",5707,390,"nominal9",4.2,9999,9999,9999,335,1.9,70.1,43.3,2.788
4.2,"nominal3","nominal7",3600,309,"nominal9",5,9999,9999,9999,305,9999,9999,9999,2.583
4.3,"nominal2","nominal7",5474,357,"nominal9",4.7,9999,2.3,3.5,317,1.14,49.2,41,2.959
4.5,"nominal2","nominal7",3586,294,"nominal9",4.7,9999,9999,9999,295,1.1,38.7,31.6,3.774
4.5,"nominal2","nominal7",3586,294,"nominal9",4.7,9999,9999,9999,295,1.1,38.7,31.6,3.774
4.6,"nominal2","nominal7",5341,410,"nominal9",4.9,9999,9999,9999,300,0.667,51.6,69.2,1.885
4.7,"nominal2","nominal7",4941,294,"nominal9",5.5,0.772,9999,9999,250,0.855,33,44.3,2.799
4.7,"nominal2","nominal7",3495,280,"nominal9",4.8,9999,9999,9999,295,0.871,67.3,41.1,2.983
4.7,"nominal2","nominal7",3495,280,"nominal9",4.8,9999,9999,9999,295,0.871,67.3,41.1,2.983
4.7,"nominal2","nominal7",3495,280,"nominal9",4.8,9999,9999,9999,295,0.871,67.3,41.1,2.983
4.8,"nominal2","nominal7",3600,265,"nominal9",5.1,0.582,9999,9999,302,1.39,43.9,40.4,2.859
4.8,"nominal2","nominal7",3586,294,"nominal9",4.8,9999,9999,9999,295,1.1,38.7,31.6,3.774
4.8,"nominal2","nominal7",3586,294,"nominal9",4.8,9999,9999,9999,295,1.1,38.7,31.6,3.774
4.8,"nominal2","nominal7",2174,225,"nominal9",5.4,9999,9999,9999,261,1.92,40.1,37.4,3.189
4.8,"nominal2","nominal7",3506,260,"nominal9",5.3,9999,9999,9999,282,1.61,39.1,40.9,2.9
4.9,"nominal3","nominal7",3600,309,"nominal9",5.1,9999,9999,9999,298,9999,9999,9999,2.399
4.9,"nominal2","nominal7",2174,224,"nominal9",6,9999,9999,9999,260,1.77,37.7,37.7,3.189
4.9,"nominal2","nominal7",4997,227,"nominal9",4.8,9999,9999,9999,271,1.6,45.2,48.7,2.416
4.9,"nominal2","nominal7",4997,227,"nominal9",4.7,9999,9999,9999,271,1.6,45.2,48.7,2.416
4.9,"nominal3","nominal7",2671,280,"nominal9",5.8,0.694,9999,9999,250,0.993,20.2,41.3,2.812
5,"nominal2","nominal7",5935,309,"nominal9",5.8,9999,9999,9999,298,0.788,58.8,63.1,1.865
5,"nominal2","nominal7",5935,309,"nominal9",5.8,9999,9999,9999,266,0.911,54.1,48.6,2.417
5,"nominal2","nominal7",5935,309,"nominal9",6.1,9999,9999,9999,298,0.788,58.8,63.1,1.865
5,"nominal2","nominal7",5935,309,"nominal9",6.1,9999,9999,9999,266,0.911,54.1,48.6,2.417
5,"nominal2","nominal7",2174,197,"nominal9",6.8,9999,9999,9999,257,1.58,35.6,37.4,3.189
5.1,"nominal2","nominal7",3217,271,"nominal9",5.9,0.669,9999,9999,280,1.93,38.8,41,2.868
5.2,"nominal2","nominal7",3387,221,"nominal9",6,0.582,9999,9999,280,1.23,40.8,40.3,2.893
5.2,"nominal3","nominal7",3387,221,"nominal9",6.2,0.582,9999,9999,280,1.23,40.8,40.3,2.893
5.2,"nominal2","nominal7",5474,325,"nominal9",5.2,9999,9999,9999,302,1.77,51.6,44.8,2.7
5.2,"nominal2","nominal7",3947,168,"nominal9",6.3,9999,9999,9999,235,1.72,37.9,39.8,2.876
5.2,"nominal2","nominal7",5665,253,"nominal9",5.8,9999,9999,9999,274,9999,9999,9999,1.7
5.2,"nominal2","nominal7",5665,253,"nominal9",5.8,9999,9999,9999,274,9999,9999,9999,1.7
5.3,"nominal2","nominal7",4941,294,"nominal9",5.9,0.673,9999,3.8,250,0.834,33.9,45.4,2.615
5.4,"nominal2","nominal7",5439,255,"nominal9",6.1,0.649,3,4.1,250,0.925,34.1,49.1,2.341
5.4,"nominal3","nominal7",4172,265,"nominal9",6.5,0.653,9999,4,250,0.864,29.3,41.3,3.1
5.4,"nominal2","nominal7",3201,236,"nominal9",5.9,0.681,9999,9999,250,0.926,28.2,36.5,3.2
5.4,"nominal2","nominal7",3201,236,"nominal9",5.7,0.773,9999,9999,250,0.926,28.2,36.5,3.2
5.4,"nominal2","nominal7",3387,221,"nominal9",6.3,0.582,9999,9999,280,1.23,40.8,40.3,2.893
5.4,"nominal3","nominal7",3387,221,"nominal9",6.6,0.582,9999,9999,280,1.23,40.8,40.3,2.893
5.4,"nominal2","nominal7",3996,267,"nominal9",6.1,9999,9999,9999,250,0.822,41.1,49.4,2.5
5.5,"nominal2","nominal7",5474,325,"nominal9",5.4,9999,9999,9999,298,0.949,52,50.2,2.4
5.6,"nominal2","nominal7",3996,267,"nominal9",6.6,9999,9999,9999,250,0.853,39.7,47.6,2.5
5.6,"nominal2","nominal7",3996,267,"nominal9",6.6,9999,9999,9999,250,0.822,41.1,49.4,2.5
5.6,"nominal2","nominal7",5665,253,"nominal9",5.9,9999,9999,9999,274,9999,9999,9999,2.192
5.6,"nominal2","nominal7",5665,253,"nominal9",5.9,9999,9999,9999,274,9999,9999,9999,2.192
