acceleration,Attribute3,Attribute4,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute1_nominal1,Attribute1_nominal2,Attribute1_nominal3,Attribute1_nominal4,Attribute1_nominal5,Attribute1_nominal6,Attribute2_nominal7,Attribute2_nominal8,Attribute5_nominal10,Attribute5_nominal11,Attribute5_nominal9
9.0,1998,100,11.8,0.609,9999.0,9999.0,208,1.14,28.4,33.6,3.3289999999999997,1,0,0,0,0,0,1,0,0,0,1
10.4,2351,110,12.9,0.9159999999999999,9999.0,9999.0,190,1.32,26.8,33.5,3.536,1,0,0,0,0,0,1,0,0,1,0
8.6,2793,142,12.0,0.6629999999999999,9999.0,9999.0,228,1.67,32.3,38.9,3.2,0,1,0,0,0,0,1,0,0,0,1
13.7,1998,84,17.7,0.85,9999.0,9999.0,175,0.92,26.8,35.9,3.233,1,0,0,0,0,0,1,0,0,1,0
12.5,1793,81,14.1,9999.0,9999.0,9999.0,188,0.85,45.7,40.6,2.6830000000000003,1,0,0,0,0,0,1,0,0,0,1
6.1,5987,290,6.8,0.63,3.2,4.5,250,0.888,47.6,54.2,2.2,0,1,0,0,0,0,1,0,0,0,1
11.6,1781,92,14.5,0.633,9999.0,7.5,198,1.7,30.5,32.8,3.545,0,0,1,0,0,0,1,0,0,0,1
8.6,1781,110,11.8,0.653,9999.0,6.0,217,1.17,14.5,37.4,3.11,1,0,0,0,0,0,1,0,0,0,1
8.2,3199,165,10.5,0.621,3.7,5.8,240,0.883,30.7,48.5,2.548,0,1,0,0,0,0,1,0,0,0,1
18.1,2765,72,22.9,9999.0,9999.0,9999.0,135,0.86,21.4,49.1,2.758,0,0,0,0,1,0,0,1,1,0,0
12.5,1753,55,22.6,0.675,9999.0,9999.0,184,1.13,15.1,45.4,2.399,1,0,0,0,0,0,0,1,0,0,1
14.0,2982,92,19.0,9999.0,9999.0,9999.0,160,1.55,22.1,42.1,3.4360000000000004,0,0,1,0,0,0,0,1,1,0,0
11.7,1595,74,16.0,0.633,9999.0,7.7,188,1.113,28.2,30.2,3.8510000000000004,1,0,0,0,0,0,1,0,0,0,1
7.7,1795,107,10.0,0.648,9999.0,9999.0,212,9999.0,49.1,9999.0,9999.0,0,1,0,0,0,0,1,0,0,0,1
8.0,2959,150,10.1,9999.0,9999.0,9999.0,225,0.768,44.4,46.5,2.488,1,0,0,0,0,0,1,0,0,0,1
13.6,998,50,17.0,9999.0,9999.0,9999.0,155,0.884,28.7,29.2,3.7,1,0,0,0,0,0,1,0,0,0,1
11.5,1595,74,15.6,0.654,9999.0,9999.0,188,1.41,30.1,32.2,3.613,1,0,0,0,0,0,1,0,0,0,1
10.7,2351,110,13.7,1004.0,9999.0,9999.0,190,0.98,28.5,38.0,3.113,1,0,0,0,0,0,1,0,0,1,0
8.4,1969,114,12.0,9999.0,9999.0,9999.0,215,1.4,35.7,33.4,3.4,1,0,0,0,0,0,1,0,0,0,1
10.9,1998,84,13.5,0.617,9999.0,9999.0,191,0.96,43.3,39.1,2.7119999999999997,1,0,0,0,0,0,1,0,0,0,1
10.6,1951,100,14.9,0.629,9999.0,9999.0,206,1.114,15.9,46.2,2.6,0,1,0,0,0,0,0,1,0,0,1
10.0,2387,100,13.0,9999.0,9999.0,9999.0,197,1.36,17.7,47.5,2.371,1,0,0,0,0,0,0,1,0,0,1
12.3,1781,110,15.3,0.831,9999.0,9999.0,189,0.82,21.2,41.9,2.8,1,0,0,0,0,0,1,0,0,1,0
15.1,999,40,21.2,0.88,9999.0,9999.0,142,0.914,19.4,28.2,3.551,1,0,0,0,0,0,1,0,0,0,1
14.2,2088,80,19.1,0.741,9999.0,9999.0,184,0.976,17.3,43.9,2.647,1,0,0,0,0,0,0,1,0,0,1
8.0,1781,132,10.7,0.6729999999999999,9999.0,9999.0,227,1.65,15.8,35.5,3.259,0,0,1,0,0,0,1,0,0,0,1
9.8,1948,102,12.8,0.6659999999999999,9999.0,9999.0,210,1.94,38.2,32.0,3.628,1,0,0,0,0,0,1,0,0,0,1
13.9,1793,85,14.8,9999.0,9999.0,9999.0,178,1.76,38.5,28.8,3.878,1,0,0,0,0,0,1,0,0,0,1
8.1,2946,140,10.5,0.6859999999999999,9999.0,9999.0,230,1.11,32.7,38.0,3.17,1,0,0,0,0,0,1,0,0,0,1
