"ScaledSoundPressure","Frequency","AngleOfAttack","ChordLength","FreeStreamVelocity","Suction"
126.201,800,0,0.3048,71.3,0.00266337
125.201,1000,0,0.3048,71.3,0.00266337
125.951,1250,0,0.3048,71.3,0.00266337
127.591,1600,0,0.3048,71.3,0.00266337
127.461,2000,0,0.3048,71.3,0.00266337
125.571,2500,0,0.3048,71.3,0.00266337
125.201,3150,0,0.3048,71.3,0.00266337
123.061,4000,0,0.3048,71.3,0.00266337
121.301,5000,0,0.3048,71.3,0.00266337
119.541,6300,0,0.3048,71.3,0.00266337
117.151,8000,0,0.3048,71.3,0.00266337
115.391,10000,0,0.3048,71.3,0.00266337
112.241,12500,0,0.3048,71.3,0.00266337
108.721,16000,0,0.3048,71.3,0.00266337
126.416,500,0,0.3048,55.5,0.00283081
127.696,630,0,0.3048,55.5,0.00283081
128.086,800,0,0.3048,55.5,0.00283081
126.966,1000,0,0.3048,55.5,0.00283081
126.086,1250,0,0.3048,55.5,0.00283081
126.986,1600,0,0.3048,55.5,0.00283081
126.616,2000,0,0.3048,55.5,0.00283081
124.106,2500,0,0.3048,55.5,0.00283081
123.236,3150,0,0.3048,55.5,0.00283081
121.106,4000,0,0.3048,55.5,0.00283081
119.606,5000,0,0.3048,55.5,0.00283081
117.976,6300,0,0.3048,55.5,0.00283081
116.476,8000,0,0.3048,55.5,0.00283081
113.076,10000,0,0.3048,55.5,0.00283081
111.076,12500,0,0.3048,55.5,0.00283081
118.129,200,0,0.3048,39.6,0.00310138
119.319,250,0,0.3048,39.6,0.00310138
122.779,315,0,0.3048,39.6,0.00310138
124.809,400,0,0.3048,39.6,0.00310138
126.959,500,0,0.3048,39.6,0.00310138
128.629,630,0,0.3048,39.6,0.00310138
129.099,800,0,0.3048,39.6,0.00310138
127.899,1000,0,0.3048,39.6,0.00310138
125.499,1250,0,0.3048,39.6,0.00310138
124.049,1600,0,0.3048,39.6,0.00310138
123.689,2000,0,0.3048,39.6,0.00310138
121.399,2500,0,0.3048,39.6,0.00310138
120.319,3150,0,0.3048,39.6,0.00310138
119.229,4000,0,0.3048,39.6,0.00310138
117.789,5000,0,0.3048,39.6,0.00310138
116.229,6300,0,0.3048,39.6,0.00310138
114.779,8000,0,0.3048,39.6,0.00310138
112.139,10000,0,0.3048,39.6,0.00310138
109.619,12500,0,0.3048,39.6,0.00310138
117.195,200,0,0.3048,31.7,0.00331266
118.595,250,0,0.3048,31.7,0.00331266
122.765,315,0,0.3048,31.7,0.00331266
125.045,400,0,0.3048,31.7,0.00331266
127.315,500,0,0.3048,31.7,0.00331266
129.095,630,0,0.3048,31.7,0.00331266
129.235,800,0,0.3048,31.7,0.00331266
127.365,1000,0,0.3048,31.7,0.00331266
124.355,1250,0,0.3048,31.7,0.00331266
122.365,1600,0,0.3048,31.7,0.00331266
122.375,2000,0,0.3048,31.7,0.00331266
120.755,2500,0,0.3048,31.7,0.00331266
119.135,3150,0,0.3048,31.7,0.00331266
118.145,4000,0,0.3048,31.7,0.00331266
115.645,5000,0,0.3048,31.7,0.00331266
113.775,6300,0,0.3048,31.7,0.00331266
110.515,8000,0,0.3048,31.7,0.00331266
108.265,10000,0,0.3048,31.7,0.00331266
127.122,800,1.5,0.3048,71.3,0.00336729
125.992,1000,1.5,0.3048,71.3,0.00336729
125.872,1250,1.5,0.3048,71.3,0.00336729
126.632,1600,1.5,0.3048,71.3,0.00336729
126.642,2000,1.5,0.3048,71.3,0.00336729
124.512,2500,1.5,0.3048,71.3,0.00336729
123.392,3150,1.5,0.3048,71.3,0.00336729
121.762,4000,1.5,0.3048,71.3,0.00336729
119.632,5000,1.5,0.3048,71.3,0.00336729
118.122,6300,1.5,0.3048,71.3,0.00336729
115.372,8000,1.5,0.3048,71.3,0.00336729
113.492,10000,1.5,0.3048,71.3,0.00336729
109.222,12500,1.5,0.3048,71.3,0.00336729
106.582,16000,1.5,0.3048,71.3,0.00336729
121.851,315,1.5,0.3048,39.6,0.00392107
124.001,400,1.5,0.3048,39.6,0.00392107
126.661,500,1.5,0.3048,39.6,0.00392107
128.311,630,1.5,0.3048,39.6,0.00392107
128.831,800,1.5,0.3048,39.6,0.00392107
127.581,1000,1.5,0.3048,39.6,0.00392107
125.211,1250,1.5,0.3048,39.6,0.00392107
122.211,1600,1.5,0.3048,39.6,0.00392107
122.101,2000,1.5,0.3048,39.6,0.00392107
120.981,2500,1.5,0.3048,39.6,0.00392107
119.111,3150,1.5,0.3048,39.6,0.00392107
117.741,4000,1.5,0.3048,39.6,0.00392107
116.241,5000,1.5,0.3048,39.6,0.00392107
114.751,6300,1.5,0.3048,39.6,0.00392107
112.251,8000,1.5,0.3048,39.6,0.00392107
108.991,10000,1.5,0.3048,39.6,0.00392107
106.111,12500,1.5,0.3048,39.6,0.00392107
127.564,400,3,0.3048,71.3,0.00425727
128.454,500,3,0.3048,71.3,0.00425727
129.354,630,3,0.3048,71.3,0.00425727
129.494,800,3,0.3048,71.3,0.00425727
