ScaledSoundPressure,Frequency,AngleOfAttack,ChordLength,FreeStreamVelocity,Suction
117.741,4000,1.5,0.3048,39.6,0.00392107
129.343,500,6.7,0.1016,55.5,0.0052139
133.436,3150,4.8,0.0254,39.6,0.000907475
111.911,315,17.4,0.0254,55.5,0.016570599999999998
129.969,1000,4.0,0.2286,39.6,0.00473801
118.619,1250,9.9,0.1524,31.7,0.0252785
108.689,6300,9.9,0.1524,31.7,0.0252785
123.255,1250,15.4,0.0508,31.7,0.0289853
132.304,1250,3.3,0.1016,71.3,0.00202822
125.724,1250,7.3,0.2286,55.5,0.0111706
119.561,10000,0.0,0.1016,39.6,0.00146332
110.447,2000,12.3,0.1016,31.7,0.0418756
127.634,1250,3.0,0.3048,71.3,0.00425727
124.756,400,9.5,0.0254,31.7,0.00461377
123.695,500,15.4,0.0508,31.7,0.0289853
126.536,3150,17.4,0.0254,71.3,0.016104
130.964,1250,9.5,0.0254,39.6,0.00449821
126.675,500,0.0,0.2286,31.7,0.0027238
129.095,630,0.0,0.3048,31.7,0.00331266
133.378,3150,4.8,0.0254,71.3,0.000848633
123.761,1600,5.4,0.1524,31.7,0.00525474
120.037,800,12.3,0.1016,31.7,0.0418756
114.044,200,17.4,0.0254,39.6,0.0172206
129.377,3150,0.0,0.1524,71.3,0.0015988
111.534,6300,7.3,0.2286,55.5,0.0111706
120.766,800,4.8,0.0254,39.6,0.000907475
113.11,6300,8.9,0.1016,39.6,0.0124596
132.095,2000,0.0,0.1016,71.3,0.00121072
129.468,1600,4.0,0.2286,71.3,0.00400603
122.232,4000,2.0,0.2286,55.5,0.00313525
110.689,6300,7.3,0.2286,31.7,0.0132672
124.685,630,15.4,0.0508,31.7,0.0289853
133.241,1600,5.4,0.1524,71.3,0.00401199
131.836,2500,0.0,0.0254,39.6,0.000428464
112.014,5000,12.3,0.1016,55.5,0.0368233
114.042,6300,3.0,0.3048,39.6,0.00495741
135.328,4000,4.8,0.0254,31.7,0.000930789
126.066,10000,4.8,0.0254,39.6,0.000907475
125.809,630,2.7,0.1524,39.6,0.00294804
129.02700000000002,2500,12.7,0.0254,39.6,0.013025299999999998
138.75799999999998,200,7.3,0.2286,71.3,0.0104404
134.319,200,9.9,0.1524,71.3,0.0193001
117.195,200,0.0,0.3048,31.7,0.00331266
110.224,10000,3.0,0.3048,71.3,0.00425727
130.94,800,8.9,0.1016,39.6,0.0124596
133.774,500,12.3,0.1016,55.5,0.0368233
130.217,800,12.7,0.0254,39.6,0.013025299999999998
127.394,800,2.7,0.1524,71.3,0.00243851
120.264,4000,3.0,0.3048,71.3,0.00425727
120.497,2500,5.4,0.1524,39.6,0.00485029
131.56799999999998,250,12.3,0.1016,71.3,0.033779199999999995
124.438,1000,15.6,0.1016,71.3,0.0437259
121.617,500,0.0,0.1524,31.7,0.00209405
123.069,2000,3.0,0.3048,55.5,0.00452492
126.826,2000,17.4,0.0254,71.3,0.016104
133.553,1600,0.0,0.1016,31.7,0.00150092
125.715,3150,15.4,0.0508,71.3,0.0264269
136.886,630,17.4,0.0254,31.7,0.017663099999999998
123.74,2500,5.3,0.2286,71.3,0.0051942
112.039,6300,9.9,0.1524,71.3,0.0193001
123.879,400,4.0,0.2286,39.6,0.00473801
118.827,5000,2.0,0.2286,39.6,0.00346574
132.595,2500,0.0,0.1016,71.3,0.00121072
119.646,4000,22.2,0.0254,39.6,0.0229028
128.241,1000,5.4,0.1524,31.7,0.00525474
133.808,315,15.6,0.1016,71.3,0.0437259
125.524,2000,3.0,0.3048,71.3,0.00425727
115.461,400,17.4,0.0254,55.5,0.016570599999999998
114.9,500,12.6,0.1524,39.6,0.05841130000000001
111.135,5000,9.9,0.1524,39.6,0.0233328
125.305,2000,0.0,0.2286,39.6,0.00253511
122.527,8000,0.0,0.1524,71.3,0.0015988
120.555,1250,9.9,0.1524,39.6,0.0233328
121.587,3150,5.4,0.1524,55.5,0.00433288
121.635,1250,9.9,0.1524,55.5,0.0208438
121.582,400,8.4,0.0508,55.5,0.00544854
119.319,250,0.0,0.3048,39.6,0.00310138
124.214,1250,12.3,0.1016,55.5,0.0368233
122.612,4000,8.4,0.0508,55.5,0.00544854
116.659,8000,2.7,0.1524,39.6,0.00294804
111.818,3150,7.2,0.1524,39.6,0.00909175
129.05700000000002,630,2.0,0.2286,31.7,0.00372371
130.173,500,4.0,0.3048,39.6,0.00579636
120.484,400,15.6,0.1016,39.6,0.0528487
122.101,2000,1.5,0.3048,39.6,0.00392107
121.499,5000,2.7,0.1524,39.6,0.00294804
125.625,1600,0.0,0.2286,31.7,0.0027238
132.769,1250,3.3,0.1016,55.5,0.002211
124.318,1600,4.2,0.0508,71.3,0.00142788
125.16,3150,0.0,0.2286,55.5,0.00229336
119.343,4000,7.2,0.1524,71.3,0.00752039
131.184,1600,9.5,0.0254,39.6,0.00449821
125.721,1250,5.3,0.2286,39.6,0.00614329
132.35399999999998,3150,4.8,0.0254,55.5,0.000873218
132.127,1000,5.4,0.1524,55.5,0.00433288
129.575,400,4.0,0.3048,71.3,0.00497773
131.01,1600,0.0,0.0508,31.7,0.000812164
118.712,6300,2.0,0.2286,55.5,0.00313525
131.434,1000,3.3,0.1016,71.3,0.00202822
112.251,8000,1.5,0.3048,39.6,0.00392107
123.894,500,9.5,0.0254,39.6,0.00449821
119.146,200,9.5,0.0254,31.7,0.00461377
132.513,1250,7.2,0.1524,71.3,0.00752039
117.604,1600,19.7,0.0508,39.6,0.036484
108.265,10000,0.0,0.3048,31.7,0.00331266
126.267,1600,5.4,0.1524,39.6,0.00485029
112.699,6300,4.0,0.2286,31.7,0.00509068
120.575,1600,19.7,0.0508,71.3,0.034118300000000004
127.315,200,9.9,0.1524,39.6,0.0233328
107.284,6300,12.6,0.1524,71.3,0.0483159
133.311,2000,11.2,0.0508,71.3,0.014072
122.216,1600,22.2,0.0254,39.6,0.0229028
131.06,2000,0.0,0.0508,71.3,0.000740478
135.924,400,7.3,0.2286,55.5,0.0111706
119.875,1600,9.9,0.1524,55.5,0.0208438
127.847,3150,12.7,0.0254,39.6,0.013025299999999998
128.816,1250,2.0,0.2286,71.3,0.00293031
123.742,3150,2.0,0.2286,55.5,0.00313525
117.624,12500,0.0,0.2286,71.3,0.00214345
128.401,800,0.0,0.1016,39.6,0.00146332
126.16,630,0.0,0.2286,55.5,0.00229336
110.364,16000,2.7,0.1524,71.3,0.00243851
120.136,250,9.5,0.0254,31.7,0.00461377
130.715,500,4.0,0.3048,71.3,0.00497773
122.175,5000,0.0,0.2286,39.6,0.00253511
128.244,2000,0.0,0.2286,71.3,0.00214345
124.364,5000,2.7,0.1524,71.3,0.00243851
129.94899999999998,800,3.0,0.3048,55.5,0.00452492
130.033,1000,0.0,0.1524,39.6,0.00193287
130.67,400,11.2,0.0508,39.6,0.015047799999999997
110.894,2000,15.6,0.1016,39.6,0.0528487
128.398,2000,4.8,0.0254,71.3,0.000848633
127.815,500,9.9,0.1524,55.5,0.0208438
110.78,1600,12.6,0.1524,39.6,0.05841130000000001
117.134,3150,7.3,0.2286,55.5,0.0111706
112.768,16000,4.0,0.2286,71.3,0.00400603
122.966,500,8.4,0.0508,31.7,0.00580776
107.147,5000,12.3,0.1016,31.7,0.0418756
127.73,6300,0.0,0.1016,55.5,0.00131983
122.439,2500,3.0,0.3048,55.5,0.00452492
125.728,1600,7.3,0.2286,71.3,0.0104404
135.484,5000,4.8,0.0254,55.5,0.000873218
135.42600000000002,5000,4.8,0.0254,39.6,0.000907475
115.863,4000,4.0,0.3048,39.6,0.00579636
126.78,1000,0.0,0.0508,31.7,0.000812164
126.846,1600,17.4,0.0254,31.7,0.017663099999999998
130.05,1250,11.2,0.0508,39.6,0.015047799999999997
125.802,1250,3.0,0.3048,39.6,0.00495741
121.789,1600,9.9,0.1524,71.3,0.0193001
128.345,400,9.9,0.1524,39.6,0.0233328
124.717,315,12.3,0.1016,31.7,0.0418756
132.828,5000,4.2,0.0508,71.3,0.00142788
108.034,5000,12.6,0.1524,71.3,0.0483159
114.714,250,17.4,0.0254,39.6,0.0172206
121.225,250,15.4,0.0508,31.7,0.0289853
127.117,1250,5.4,0.1524,39.6,0.00485029
122.606,630,17.4,0.0254,71.3,0.016104
123.537,315,12.7,0.0254,39.6,0.013025299999999998
112.241,12500,0.0,0.3048,71.3,0.00266337
131.44799999999998,630,6.7,0.1016,71.3,0.00478288
131.80700000000002,630,5.4,0.1524,55.5,0.00433288
121.238,10000,4.2,0.0508,71.3,0.00142788
124.166,2500,17.4,0.0254,31.7,0.017663099999999998
122.394,3150,4.0,0.2286,55.5,0.0042862
109.619,12500,0.0,0.3048,39.6,0.00310138
109.52,2000,12.6,0.1524,39.6,0.05841130000000001
130.507,1000,5.4,0.1524,39.6,0.00485029
129.55200000000002,800,3.0,0.3048,39.6,0.00495741
128.916,2000,4.8,0.0254,39.6,0.000907475
126.446,1250,22.2,0.0254,39.6,0.0229028
119.253,10000,0.0,0.1524,55.5,0.00172668
135.674,315,12.3,0.1016,55.5,0.0368233
130.299,500,7.3,0.2286,39.6,0.0123481
120.726,6300,9.5,0.0254,31.7,0.00461377
140.987,1250,22.2,0.0254,71.3,0.0214178
124.644,250,15.6,0.1016,39.6,0.0528487
129.516,1000,8.4,0.0508,31.7,0.00580776
125.816,1000,17.4,0.0254,71.3,0.016104
119.159,4000,4.0,0.2286,39.6,0.00473801
133.376,10000,0.0,0.0254,39.6,0.000428464
127.318,800,12.3,0.1016,71.3,0.033779199999999995
118.964,800,15.6,0.1016,39.6,0.0528487
130.845,1250,15.4,0.0508,71.3,0.0264269
113.076,10000,0.0,0.3048,55.5,0.00283081
112.065,5000,9.9,0.1524,55.5,0.0208438
116.181,4000,5.4,0.1524,31.7,0.00525474
129.776,500,22.2,0.0254,39.6,0.0229028
112.169,10000,3.0,0.3048,55.5,0.00452492
127.625,2500,15.4,0.0508,71.3,0.0264269
131.966,3150,8.4,0.0508,71.3,0.00529514
119.04,2000,8.9,0.1016,39.6,0.0124596
124.852,4000,3.3,0.1016,31.7,0.00251435
129.946,1000,8.4,0.0508,71.3,0.00529514
121.313,6300,0.0,0.1524,39.6,0.00193287
122.088,2500,7.3,0.2286,71.3,0.0104404
117.137,4000,5.4,0.1524,39.6,0.00485029
109.222,12500,1.5,0.3048,71.3,0.00336729
112.265,4000,9.9,0.1524,39.6,0.0233328
130.989,200,7.3,0.2286,39.6,0.0123481
131.96,500,11.2,0.0508,39.6,0.015047799999999997
129.63299999999998,2000,0.0,0.1524,39.6,0.00193287
134.56799999999998,2000,6.7,0.1016,71.3,0.00478288
129.116,12500,0.0,0.0254,39.6,0.000428464
114.085,2000,12.3,0.1016,39.6,0.0408268
125.201,3150,0.0,0.3048,71.3,0.00266337
130.311,500,11.2,0.0508,71.3,0.014072
133.72799999999998,3150,4.2,0.0508,71.3,0.00142788
134.236,4000,9.5,0.0254,71.3,0.00420654
126.045,630,8.4,0.0508,39.6,0.00566229
133.894,2500,3.3,0.1016,71.3,0.00202822
123.565,400,0.0,0.2286,39.6,0.00253511
130.869,800,4.0,0.2286,31.7,0.00509068
110.124,6300,12.3,0.1016,55.5,0.0368233
136.75799999999998,1000,6.7,0.1016,71.3,0.00478288
108.684,4000,19.7,0.0508,39.6,0.036484
122.79,800,0.0,0.0508,31.7,0.000812164
121.301,5000,0.0,0.3048,71.3,0.00266337
120.505,5000,0.0,0.2286,31.7,0.0027238
120.509,1250,7.3,0.2286,31.7,0.0132672
121.657,8000,22.2,0.0254,71.3,0.0214178
114.861,6300,17.4,0.0254,55.5,0.016570599999999998
134.111,1250,5.4,0.1524,71.3,0.00401199
134.034,2000,3.3,0.1016,71.3,0.00202822
111.029,5000,7.3,0.2286,31.7,0.0132672
110.555,6300,9.9,0.1524,55.5,0.0208438
119.854,5000,17.4,0.0254,39.6,0.0172206
115.645,5000,0.0,0.3048,31.7,0.00331266
128.595,315,9.9,0.1524,39.6,0.0233328
109.638,20000,4.0,0.2286,71.3,0.00400603
129.889,630,9.9,0.1524,71.3,0.0193001
123.453,5000,0.0,0.1524,39.6,0.00193287
113.858,5000,3.0,0.3048,31.7,0.00529514
110.307,3150,12.3,0.1016,31.7,0.0418756
119.708,20000,4.8,0.0254,71.3,0.000848633
129.134,1600,0.0,0.2286,71.3,0.00214345
123.416,400,22.2,0.0254,39.6,0.0229028
130.20600000000002,500,6.7,0.1016,31.7,0.00592927
124.244,630,12.3,0.1016,55.5,0.0368233
127.398,10000,4.8,0.0254,71.3,0.000848633
131.97799999999998,2500,4.2,0.0508,71.3,0.00142788
123.417,400,2.0,0.2286,31.7,0.00372371
121.903,8000,0.0,0.1524,55.5,0.00172668
118.416,315,17.4,0.0254,31.7,0.017663099999999998
133.23,5000,0.0,0.0508,31.7,0.000812164
114.404,4000,12.3,0.1016,55.5,0.0368233
128.311,630,1.5,0.3048,39.6,0.00392107
130.43,800,15.4,0.0508,55.5,0.0271925
115.372,8000,1.5,0.3048,71.3,0.00336729
126.471,1600,17.4,0.0254,55.5,0.016570599999999998
133.062,1600,9.5,0.0254,55.5,0.0043284
130.77700000000002,1250,5.4,0.1524,55.5,0.00433288
126.097,2500,22.2,0.0254,71.3,0.0214178
130.089,250,7.3,0.2286,31.7,0.0132672
128.825,1000,0.0,0.1016,71.3,0.00121072
116.128,500,4.8,0.0254,31.7,0.000930789
124.254,2000,4.0,0.2286,55.5,0.0042862
130.156,8000,0.0,0.0508,55.5,0.00076193
108.625,5000,12.3,0.1016,39.6,0.0408268
120.92,4000,15.4,0.0508,55.5,0.0271925
114.474,20000,0.0,0.2286,71.3,0.00214345
130.349,630,4.0,0.2286,31.7,0.00509068
125.974,200,19.7,0.0508,39.6,0.036484
115.304,500,15.6,0.1016,39.6,0.0528487
127.206,800,9.5,0.0254,71.3,0.00420654
110.868,10000,7.2,0.1524,39.6,0.00909175
120.209,2500,4.0,0.2286,31.7,0.00509068
125.343,4000,0.0,0.1524,39.6,0.00193287
128.72299999999998,1000,4.0,0.3048,39.6,0.00579636
139.808,315,7.3,0.2286,71.3,0.0104404
130.595,1000,0.0,0.2286,31.7,0.0027238
128.629,630,0.0,0.3048,39.6,0.00310138
125.39,315,15.4,0.0508,55.5,0.0271925
130.89,8000,0.0,0.0508,71.3,0.000740478
119.737,6300,0.0,0.1524,31.7,0.00209405
125.992,1000,1.5,0.3048,71.3,0.00336729
130.392,2500,3.3,0.1016,31.7,0.00251435
132.918,2000,0.0,0.0508,39.6,0.000791822
122.235,2000,6.7,0.1016,39.6,0.00578076
126.149,400,4.0,0.2286,31.7,0.00509068
112.524,8000,4.0,0.2286,55.5,0.0042862
119.541,6300,0.0,0.3048,71.3,0.00266337
116.184,2500,19.7,0.0508,39.6,0.036484
110.491,250,17.4,0.0254,55.5,0.016570599999999998
132.355,315,9.9,0.1524,55.5,0.0208438
130.935,4000,0.0,0.1016,71.3,0.00121072
116.02,315,12.6,0.1524,39.6,0.05841130000000001
132.043,500,7.2,0.1524,71.3,0.00752039
121.318,2500,12.3,0.1016,71.3,0.033779199999999995
113.799,8000,3.0,0.3048,55.5,0.00452492
120.856,3150,22.2,0.0254,39.6,0.0229028
132.27100000000002,1250,0.0,0.1016,39.6,0.00146332
128.74,10000,0.0,0.0508,71.3,0.000740478
115.792,5000,3.0,0.3048,39.6,0.00495741
130.183,1600,0.0,0.1524,55.5,0.00172668
123.465,4000,0.0,0.2286,39.6,0.00253511
118.941,5000,17.4,0.0254,55.5,0.016570599999999998
124.338,2500,4.0,0.2286,71.3,0.00400603
128.879,800,9.9,0.1524,71.3,0.0193001
121.996,4000,17.4,0.0254,31.7,0.017663099999999998
127.054,5000,3.3,0.1016,71.3,0.00202822
126.966,1000,0.0,0.3048,55.5,0.00283081
123.189,1250,7.3,0.2286,39.6,0.0123481
128.36,5000,0.0,0.1016,55.5,0.00131983
132.30100000000002,2000,3.3,0.1016,39.6,0.00245138
127.91,1250,0.0,0.2286,55.5,0.00229336
123.455,2000,0.0,0.2286,31.7,0.0027238
129.33,630,15.4,0.0508,55.5,0.0271925
134.928,4000,4.8,0.0254,71.3,0.000848633
132.003,2500,0.0,0.1016,31.7,0.00150092
126.843,315,4.0,0.3048,39.6,0.00579636
127.591,2500,5.4,0.1524,71.3,0.00401199
129.03799999999998,630,4.0,0.2286,71.3,0.00400603
128.127,2500,0.0,0.1524,71.3,0.0015988
131.955,3150,0.0,0.1016,71.3,0.00121072
130.781,1000,0.0,0.1016,39.6,0.00146332
123.207,400,12.3,0.1016,31.7,0.0418756
130.477,16000,0.0,0.0254,71.3,0.000400682
120.654,4000,4.0,0.2286,55.5,0.0042862
126.805,800,0.0,0.1016,71.3,0.00121072
120.755,2500,0.0,0.3048,31.7,0.00331266
108.721,16000,0.0,0.3048,71.3,0.00266337
119.224,1000,15.6,0.1016,39.6,0.0528487
133.211,1250,3.3,0.1016,39.6,0.00245138
133.276,3150,0.0,0.0254,39.6,0.000428464
135.164,6300,4.8,0.0254,55.5,0.000873218
130.893,1600,7.2,0.1524,71.3,0.00752039
128.264,1600,4.0,0.2286,55.5,0.0042862
129.5,4000,0.0,0.1016,55.5,0.00131983
130.269,400,7.3,0.2286,31.7,0.0132672
110.905,4000,12.3,0.1016,39.6,0.0408268
130.96,800,0.0,0.0508,71.3,0.000740478
122.044,1000,12.6,0.1524,71.3,0.0483159
120.243,4000,8.9,0.1016,71.3,0.0103088
113.086,10000,2.0,0.2286,71.3,0.00293031
134.515,1000,6.7,0.1016,39.6,0.00578076
125.89,2000,5.3,0.2286,71.3,0.0051942
128.97799999999998,5000,12.7,0.0254,71.3,0.0121808
129.645,630,15.4,0.0508,71.3,0.0264269
128.296,400,6.7,0.1016,31.7,0.00592927
125.571,2500,0.0,0.3048,71.3,0.00266337
135.38,315,8.9,0.1016,39.6,0.0124596
127.623,2000,0.0,0.0254,55.5,0.00041229
124.276,800,17.4,0.0254,71.3,0.016104
137.076,800,22.2,0.0254,39.6,0.0229028
119.099,1000,7.3,0.2286,31.7,0.0132672
120.162,2500,3.0,0.3048,39.6,0.00495741
127.039,500,4.0,0.2286,39.6,0.00473801
128.643,2000,7.2,0.1524,71.3,0.00752039
124.986,16000,0.0,0.0254,39.6,0.000428464
129.235,800,0.0,0.3048,31.7,0.00331266
125.963,500,15.4,0.0508,39.6,0.0282593
116.849,3150,9.9,0.1524,71.3,0.0193001
110.515,8000,0.0,0.3048,31.7,0.00331266
119.598,2500,3.0,0.3048,31.7,0.00529514
122.411,630,17.4,0.0254,55.5,0.016570599999999998
115.311,5000,5.3,0.2286,39.6,0.00614329
118.922,3150,3.0,0.3048,39.6,0.00495741
110.905,10000,4.0,0.3048,71.3,0.00497773
119.07,12500,0.0,0.0508,31.7,0.000812164
127.127,500,12.7,0.0254,39.6,0.013025299999999998
131.274,2000,9.5,0.0254,39.6,0.00449821
111.35,10000,5.3,0.2286,71.3,0.0051942
130.955,500,6.7,0.1016,39.6,0.00578076
131.615,630,4.0,0.3048,71.3,0.00497773
122.765,315,0.0,0.3048,31.7,0.00331266
124.356,2000,17.4,0.0254,31.7,0.017663099999999998
103.38,6300,12.6,0.1524,39.6,0.05841130000000001
121.527,3150,2.0,0.2286,31.7,0.00372371
128.977,12500,0.0,0.0254,31.7,0.000439472
129.673,2000,0.0,0.1524,55.5,0.00172668
129.953,1250,0.0,0.1524,55.5,0.00172668
125.22,12500,0.0,0.0508,71.3,0.000740478
127.564,400,3.0,0.3048,71.3,0.00425727
106.88,2500,12.6,0.1524,39.6,0.05841130000000001
121.728,4000,4.0,0.2286,71.3,0.00400603
116.295,2500,9.9,0.1524,39.6,0.0233328
122.845,315,15.4,0.0508,31.7,0.0289853
116.559,2500,7.3,0.2286,39.6,0.0123481
125.741,315,5.4,0.1524,31.7,0.00525474
135.95600000000002,2500,9.5,0.0254,71.3,0.00420654
125.941,200,11.2,0.0508,71.3,0.014072
115.309,2000,7.3,0.2286,31.7,0.0132672
124.514,630,17.4,0.0254,39.6,0.0172206
125.603,3150,0.0,0.1524,39.6,0.00193287
116.151,2500,5.3,0.2286,39.6,0.00614329
128.576,1600,0.0,0.0508,55.5,0.00076193
134.946,4000,0.0,0.0508,55.5,0.00076193
116.066,200,22.2,0.0254,39.6,0.0229028
112.803,16000,0.0,0.1524,55.5,0.00172668
120.227,4000,2.0,0.2286,39.6,0.00346574
110.839,6300,7.3,0.2286,39.6,0.0123481
133.40200000000002,1600,3.3,0.1016,31.7,0.00251435
118.018,4000,12.3,0.1016,71.3,0.033779199999999995
128.086,800,0.0,0.3048,55.5,0.00283081
121.284,20000,4.8,0.0254,55.5,0.000873218
121.783,200,15.4,0.0508,39.6,0.0282593
123.037,2000,2.0,0.2286,31.7,0.00372371
