ScaledSoundPressure,Frequency,AngleOfAttack,ChordLength,FreeStreamVelocity,Suction
117.741,4000,1.5,0.3048,39.6,0.00392107
118.12200000000001,6300,1.5,0.3048,71.3,0.00336729
120.65700000000001,630,22.2,0.0254,71.3,0.0214178
122.229,315,4.0,0.2286,39.6,0.00473801
129.343,500,6.7,0.1016,55.5,0.0052139
126.59,8000,0.0,0.0508,31.7,0.000812164
133.436,3150,4.8,0.0254,39.6,0.000907475
131.582,4000,9.5,0.0254,55.5,0.0043284
111.911,315,17.4,0.0254,55.5,0.016570599999999998
129.969,1000,4.0,0.2286,39.6,0.00473801
118.619,1250,9.9,0.1524,31.7,0.0252785
126.34299999999999,1250,4.0,0.3048,39.6,0.00579636
123.917,4000,22.2,0.0254,71.3,0.0214178
129.004,1000,3.0,0.3048,71.3,0.00425727
108.689,6300,9.9,0.1524,31.7,0.0252785
125.398,6300,12.7,0.0254,71.3,0.012180799999999999
117.785,5000,4.0,0.3048,71.3,0.00497773
123.255,1250,15.4,0.0508,31.7,0.028985300000000002
132.304,1250,3.3,0.1016,71.3,0.00202822
125.72399999999999,1250,7.3,0.2286,55.5,0.011170600000000001
135.54,400,8.9,0.1016,39.6,0.012459600000000001
119.561,10000,0.0,0.1016,39.6,0.00146332
110.447,2000,12.3,0.1016,31.7,0.0418756
123.742,500,8.4,0.0508,55.5,0.00544854
127.634,1250,3.0,0.3048,71.3,0.00425727
124.756,400,9.5,0.0254,31.7,0.00461377
131.725,1600,0.0,0.1016,71.3,0.00121072
123.695,500,15.4,0.0508,31.7,0.028985300000000002
129.977,1600,12.7,0.0254,39.6,0.013025299999999998
128.518,8000,0.0,0.0508,39.6,0.000791822
126.536,3150,17.4,0.0254,71.3,0.016104
125.79700000000001,1600,2.0,0.2286,31.7,0.00372371
128.252,3150,3.3,0.1016,31.7,0.00251435
130.964,1250,9.5,0.0254,39.6,0.00449821
126.675,500,0.0,0.2286,31.7,0.0027238
131.236,2500,4.8,0.0254,39.6,0.000907475
126.537,4000,12.7,0.0254,39.6,0.013025299999999998
125.499,1250,0.0,0.3048,39.6,0.00310138
129.095,630,0.0,0.3048,31.7,0.00331266
133.378,3150,4.8,0.0254,71.3,0.000848633
124.525,1000,15.4,0.0508,31.7,0.028985300000000002
128.707,2000,5.4,0.1524,55.5,0.00433288
128.809,315,9.9,0.1524,31.7,0.0252785
123.76100000000001,1600,5.4,0.1524,31.7,0.00525474
130.0,1250,15.4,0.0508,55.5,0.0271925
121.664,500,12.6,0.1524,71.3,0.0483159
