"available.power","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","Attribute10","Attribute11","Attribute12","Attribute13","Attribute14","Attribute15"
33,"nominal1",599,3,"nominal3",0.992,10,70,14.69,"nominal6","nominal9",1,"nominal20","nominal27","nominal33",2
40,"nominal1",599,3,"nominal3",0.992,10,88,18.46,"nominal6","nominal9",1,"nominal20","nominal27","nominal33",2
40,"nominal1",599,3,"nominal3",0.992,10,88,18.46,"nominal6","nominal9",1,"nominal20","nominal27","nominal33",2
40,"nominal1",599,3,"nominal3",0.992,10,88,18.46,"nominal6","nominal9",1,"nominal20","nominal27","nominal33",2
40,"nominal1",599,3,"nominal3",0.992,10,88,18.46,"nominal6","nominal9",1,"nominal20","nominal27","nominal33",2
38,"nominal1",796,3,"nominal3",1.51,9,69,10.89,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
38,"nominal1",796,3,"nominal3",1.51,9,69,10.89,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
30,"nominal2",799,3,"nominal3",1.26,19,100,15.73,"nominal6","nominal9",1,"nominal20","nominal27","nominal33",2
30,"nominal2",799,3,"nominal3",1.26,19,100,15.73,"nominal6","nominal9",1,"nominal20","nominal27","nominal33",2
29,"nominal1",899,4,"nominal3",1.42,9,65,9.09,"nominal7","nominal11",1,"nominal23","nominal27","nominal33",2
33,"nominal1",954,4,"nominal3",0.886,9,74,9.75,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
40,"nominal1",973,3,"nominal3",1.84,10,82,10.59,"nominal6","nominal9",2,"nominal20","nominal27","nominal33",4
40,"nominal1",973,3,"nominal3",1.84,10,82,10.59,"nominal6","nominal9",2,"nominal20","nominal27","nominal33",4
43,"nominal1",973,4,"nominal3",1.84,10,85,10.98,"nominal6","nominal9",2,"nominal20","nominal27","nominal33",4
41,"nominal1",989,3,"nominal3",1.125,10,88,11.18,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
41,"nominal1",989,3,"nominal3",1.125,10,88,11.18,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
41,"nominal1",989,3,"nominal3",1.125,10,88,11.18,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
41,"nominal1",989,3,"nominal3",1.125,10,88,11.18,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
41,"nominal1",989,3,"nominal3",1.125,10,88,11.18,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
41,"nominal1",989,3,"nominal3",1.125,10,88,11.18,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
41,"nominal1",989,3,"nominal3",1.125,10,88,11.18,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
41,"nominal1",989,3,"nominal3",1.125,10,88,11.18,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
41,"nominal1",989,3,"nominal3",1.125,10,88,11.18,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
41,"nominal1",989,3,"nominal3",1.125,10,88,11.18,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
41,"nominal1",989,3,"nominal3",1.125,10,88,11.18,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
41,"nominal1",989,3,"nominal3",1.125,10,88,11.18,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
41,"nominal1",989,3,"nominal3",1.125,10,88,11.18,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
41,"nominal1",989,3,"nominal3",1.125,10,88,11.18,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
41,"nominal1",989,3,"nominal3",1.125,10,88,11.18,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
41,"nominal1",989,3,"nominal3",1.125,10,88,11.18,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
39,"nominal1",993,3,"nominal3",1.41,10,76,9.62,"nominal6","nominal12",1,"nominal21","nominal27","nominal33",2
39,"nominal1",993,3,"nominal3",1.41,10,76,9.62,"nominal6","nominal12",1,"nominal21","nominal27","nominal33",2
40,"nominal1",993,4,"nominal3",0.847,9,77,9.74,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
40,"nominal1",993,4,"nominal3",0.847,9,77,9.74,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
56,"nominal1",995,3,"nominal3",1.132,11,113,14.27,"nominal6","nominal12",1,"nominal19","nominal32","nominal33",4
37,"nominal1",997,4,"nominal3",0.85,10,84,10.59,"nominal7","nominal15",1,"nominal25","nominal27","nominal33",2
40,"nominal1",998,4,"nominal3",0.887,10,79,9.95,"nominal6","nominal15",2,"nominal21","nominal27","nominal33",4
40,"nominal1",998,4,"nominal3",0.887,10,79,9.95,"nominal6","nominal15",2,"nominal21","nominal27","nominal33",4
40,"nominal1",998,4,"nominal3",0.887,10,79,9.95,"nominal6","nominal15",2,"nominal21","nominal27","nominal33",4
40,"nominal1",998,4,"nominal3",0.887,10,79,9.95,"nominal6","nominal15",2,"nominal21","nominal27","nominal33",4
50,"nominal1",998,4,"nominal3",0.967,10,90,11.33,"nominal6","nominal11",2,"nominal21","nominal29","nominal33",4
50,"nominal1",998,4,"nominal3",0.967,10,90,11.33,"nominal6","nominal11",2,"nominal21","nominal29","nominal33",4
50,"nominal1",998,4,"nominal3",0.967,10,90,11.33,"nominal6","nominal11",2,"nominal21","nominal29","nominal33",4
37,"nominal1",999,4,"nominal3",1.52,11,86,10.82,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
37,"nominal1",999,4,"nominal3",1.52,11,86,10.82,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
37,"nominal1",999,4,"nominal3",1.52,11,86,10.82,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
40,"nominal1",999,4,"nominal3",1.16,10,82,10.31,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",3
40,"nominal1",999,4,"nominal3",1.16,10,82,10.31,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",3
40,"nominal1",999,4,"nominal3",1.16,10,82,10.31,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",3
40,"nominal1",999,4,"nominal3",1.16,10,82,10.31,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",3
40,"nominal1",1108,4,"nominal3",1.29,10,86,9.75,"nominal6","nominal12",1,"nominal21","nominal27","nominal33",2
40,"nominal1",1108,4,"nominal3",1.29,10,86,9.75,"nominal6","nominal12",1,"nominal21","nominal27","nominal33",2
44,"nominal1",1124,4,"nominal3",0.958,9,88,9.84,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
44,"nominal1",1124,4,"nominal3",0.958,10,91,10.17,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
44,"nominal1",1124,4,"nominal3",0.958,10,91,10.17,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
44,"nominal1",1124,4,"nominal3",0.958,10,91,10.17,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
44,"nominal1",1124,4,"nominal3",0.958,10,91,10.17,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
44,"nominal1",1124,4,"nominal3",0.958,10,91,10.17,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
44,"nominal1",1124,4,"nominal3",0.958,10,91,10.17,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
44,"nominal1",1124,4,"nominal3",0.958,10,91,10.17,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
43,"nominal1",1149,4,"nominal3",1.113,10,93,10.17,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",2
43,"nominal1",1149,4,"nominal3",1.113,10,93,10.17,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",2
43,"nominal1",1149,4,"nominal3",1.113,10,93,10.17,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",2
43,"nominal1",1149,4,"nominal3",1.113,10,93,10.17,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",2
43,"nominal1",1149,4,"nominal3",1.113,10,93,10.17,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",2
43,"nominal1",1149,4,"nominal3",1.113,10,93,10.17,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",2
45,"nominal2",1191,3,"nominal3",1.129,20,140,14.77,"nominal6","nominal12",1,"nominal21","missing_value","missing_value",2
48,"nominal1",1199,4,"nominal3",1.1,10,110,11.53,"nominal6","nominal15",2,"nominal20","nominal27","nominal33",4
48,"nominal1",1199,4,"nominal3",1.1,10,110,11.53,"nominal6","nominal15",2,"nominal20","nominal27","nominal33",4
48,"nominal1",1199,4,"nominal3",1.1,10,110,11.53,"nominal6","nominal15",2,"nominal20","nominal27","nominal33",4
48,"nominal1",1199,4,"nominal3",1.1,10,110,11.53,"nominal6","nominal15",2,"nominal20","nominal27","nominal33",4
48,"nominal1",1199,4,"nominal3",1.1,10,110,11.53,"nominal6","nominal15",2,"nominal20","nominal27","nominal33",4
48,"nominal1",1199,4,"nominal3",1.1,10,110,11.53,"nominal6","nominal15",2,"nominal20","nominal27","nominal33",4
55,"nominal1",1199,4,"nominal3",1.1,10,110,11.53,"nominal6","nominal9",2,"nominal20","nominal27","nominal33",4
54,"nominal1",1241,4,"nominal3",1.113,10,104,10.53,"nominal6","nominal12",1,"nominal21","nominal27","nominal33",2
44,"nominal1",1242,4,"nominal3",1.114,10,102,10.32,"nominal6","nominal12",1,"nominal21","nominal27","nominal33",2
44,"nominal1",1242,4,"nominal3",1.114,10,102,10.32,"nominal6","nominal12",1,"nominal21","nominal27","nominal33",2
44,"nominal1",1242,4,"nominal3",1.114,10,98,9.92,"nominal6","nominal12",1,"nominal21","nominal27","nominal33",2
44,"nominal1",1242,4,"nominal3",1.114,10,98,9.92,"nominal6","nominal12",1,"nominal21","nominal27","nominal33",2
55,"nominal1",1242,4,"nominal3",1.64,10,110,11.13,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
55,"nominal1",1242,4,"nominal3",1.64,10,110,11.13,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
55,"nominal1",1242,4,"nominal3",1.64,10,110,11.13,"nominal6","nominal12",2,"nominal21","nominal27","nominal33",4
59,"nominal1",1242,4,"nominal3",1.114,11,114,11.53,"nominal6","nominal12",2,"nominal21","nominal27","nominal33",4
59,"nominal1",1242,4,"nominal3",1.114,11,114,11.53,"nominal6","nominal12",2,"nominal21","nominal27","nominal33",4
59,"nominal1",1242,4,"nominal3",1.114,11,114,11.53,"nominal6","nominal12",2,"nominal21","nominal27","nominal33",4
59,"nominal1",1242,4,"nominal3",1.114,11,114,11.53,"nominal6","nominal12",2,"nominal21","nominal27","nominal33",4
59,"nominal1",1242,4,"nominal3",1.114,11,114,11.53,"nominal6","nominal12",2,"nominal21","nominal27","nominal33",4
59,"nominal1",1242,4,"nominal3",1.114,11,114,11.53,"nominal6","nominal12",2,"nominal21","nominal27","nominal33",4
59,"nominal1",1242,4,"nominal3",1.114,11,114,11.53,"nominal6","nominal12",2,"nominal21","nominal27","nominal33",4
59,"nominal1",1242,4,"nominal3",1.114,11,114,11.53,"nominal6","nominal12",2,"nominal21","nominal27","nominal33",4
59,"nominal1",1242,4,"nominal3",1.114,11,114,11.53,"nominal6","nominal12",2,"nominal21","nominal27","nominal33",4
60,"nominal1",1242,4,"nominal3",1.114,10,113,11.43,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
60,"nominal1",1242,4,"nominal3",1.114,10,113,11.43,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
63,"nominal1",1242,4,"nominal3",1.114,10,113,11.43,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
55,"nominal1",1275,4,"nominal3",1.134,10,103,10.15,"nominal6","nominal15",2,"nominal21","nominal27","nominal33",4
55,"nominal1",1275,4,"nominal3",1.134,10,103,10.15,"nominal6","nominal15",2,"nominal21","nominal27","nominal33",4
40,"nominal1",1289,4,"nominal3",0.954,10,99,9.65,"nominal7","nominal15",1,"nominal25","nominal27","nominal33",2
50,"nominal1",1289,4,"nominal3",0.954,10,106,10.33,"nominal7","nominal15",1,"nominal25","nominal27","nominal33",2
44,"nominal1",1296,4,"nominal3",0.94,10,84,8.14,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",4
44,"nominal1",1296,4,"nominal3",0.94,10,84,8.14,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",4
61,"nominal1",1296,4,"nominal3",0.94,10,105,10.18,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",4
61,"nominal1",1296,4,"nominal3",0.94,10,105,10.18,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",4
61,"nominal1",1296,4,"nominal3",0.94,10,105,10.18,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",4
61,"nominal1",1296,4,"nominal3",0.94,10,105,10.18,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",4
62,"nominal1",1296,4,"nominal3",0.94,10,105,10.18,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",4
62,"nominal1",1296,4,"nominal3",0.94,10,105,10.18,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",4
37,"nominal1",1297,4,"nominal3",1.21,10,93,9.01,"nominal7","nominal9",1,"nominal23","nominal27","nominal33",2
37,"nominal1",1297,4,"nominal3",1.21,10,93,9.01,"nominal7","nominal9",1,"nominal23","nominal27","nominal33",2
44,"nominal1",1297,4,"nominal3",1.21,10,103,9.98,"nominal7","nominal9",1,"nominal23","nominal27","nominal33",2
44,"nominal1",1297,4,"nominal3",1.21,10,105,10.17,"nominal7","nominal9",1,"nominal23","nominal27","nominal33",2
44,"nominal1",1297,4,"nominal3",1.21,10,105,10.17,"nominal7","nominal9",1,"nominal23","nominal27","nominal33",2
50,"nominal1",1299,4,"nominal3",1.2,10,99,9.58,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
50,"nominal1",1299,4,"nominal3",1.2,10,99,9.58,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
50,"nominal1",1299,4,"nominal3",1.2,10,99,9.58,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
51,"nominal1",1299,4,"nominal3",1.2,10,103,9.96,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
51,"nominal1",1299,4,"nominal3",1.2,10,103,9.96,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
55,"nominal1",1299,4,"nominal3",1.155,10,108,10.45,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",3
55,"nominal1",1299,4,"nominal3",1.155,10,108,10.45,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",3
55,"nominal1",1299,4,"nominal3",1.155,10,107,10.35,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",3
