available.power,Attribute2,Attribute3,Attribute5,Attribute6,Attribute7,Attribute8,Attribute11,Attribute15,Attribute1_nominal1,Attribute1_nominal2,Attribute4_nominal3,Attribute4_nominal4,Attribute4_nominal5,Attribute9_nominal6,Attribute9_nominal7,Attribute9_nominal8,Attribute10_missing_value,Attribute10_nominal10,Attribute10_nominal11,Attribute10_nominal12,Attribute10_nominal13,Attribute10_nominal14,Attribute10_nominal15,Attribute10_nominal16,Attribute10_nominal17,Attribute10_nominal18,Attribute10_nominal9,Attribute12_missing_value,Attribute12_nominal19,Attribute12_nominal20,Attribute12_nominal21,Attribute12_nominal22,Attribute12_nominal23,Attribute12_nominal24,Attribute12_nominal25,Attribute12_nominal26,Attribute13_missing_value,Attribute13_nominal27,Attribute13_nominal28,Attribute13_nominal29,Attribute13_nominal30,Attribute13_nominal31,Attribute13_nominal32,Attribute14_missing_value,Attribute14_nominal33,Attribute14_nominal34,Attribute14_nominal35,Attribute14_nominal36,Attribute14_nominal37
130,3954,6,0.8809999999999999,9,296,9.41,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
55,2370,5,1.21,23,160,8.48,1,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
265,4172,8,1.11,11,430,12.95,4,5,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
66,1689,4,1.5,19,180,13.39,2,4,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
220,4172,8,1.11,11,400,12.05,4,5,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
115,2362,4,1.85,10,225,11.97,2,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
209,3996,8,1.0,11,375,11.79,4,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
55,1390,4,0.988,11,126,11.39,2,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
85,1799,4,1.54,11,170,11.87,2,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
236,3201,6,1.53,11,350,13.74,2,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
92,1994,4,0.815,10,184,11.6,2,4,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
142,2771,6,1.47,11,280,12.7,4,5,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
81,2184,4,1.93,18,230,13.23,2,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
98,1998,4,1.0,10,171,10.76,2,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
110,3275,6,0.97,9,266,10.21,2,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
38,796,3,1.51,9,69,10.89,1,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
100,1998,4,0.875,10,190,11.95,2,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
121,2393,6,0.956,11,230,12.08,4,5,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
81,1762,4,1.56,10,155,11.05,2,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
