"HousValue","CRIM","ZN","INDUS","CHAS","NOX","RM","AGE","DIS","RAD","TAX","PTRATIO","B","LSTAT"
24,0.006,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.898,4.98
21.6,0.027,0,7.07,0,0.469,6.421,78.9,4.967,2,242,17.8,396.898,9.14
34.7,0.027,0,7.07,0,0.469,7.185,61.1,4.967,2,242,17.8,392.828,4.03
33.4,0.032,0,2.18,0,0.458,6.998,45.8,6.062,3,222,18.7,394.629,2.94
36.2,0.069,0,2.18,0,0.458,7.147,54.2,6.062,3,222,18.7,396.898,5.33
28.7,0.03,0,2.18,0,0.458,6.43,58.7,6.062,3,222,18.7,394.119,5.21
22.9,0.088,12.5,7.87,0,0.524,6.012,66.6,5.56,5,311,15.2,395.6,12.43
27.1,0.145,12.5,7.87,0,0.524,6.172,96.1,5.95,5,311,15.2,396.898,19.15
16.5,0.211,12.5,7.87,0,0.524,5.631,100,6.082,5,311,15.2,386.629,29.93
18.9,0.17,12.5,7.87,0,0.524,6.004,85.9,6.592,5,311,15.2,386.709,17.1
15,0.225,12.5,7.87,0,0.524,6.377,94.3,6.347,5,311,15.2,392.52,20.45
18.9,0.117,12.5,7.87,0,0.524,6.009,82.9,6.227,5,311,15.2,396.898,13.27
21.7,0.094,12.5,7.87,0,0.524,5.889,39,5.451,5,311,15.2,390.5,15.71
20.4,0.63,0,8.14,0,0.538,5.949,61.8,4.707,4,307,21,396.898,8.26
18.2,0.638,0,8.14,0,0.538,6.096,84.5,4.462,4,307,21,380.02,10.26
19.9,0.627,0,8.14,0,0.538,5.834,56.5,4.499,4,307,21,395.619,8.47
23.1,1.054,0,8.14,0,0.538,5.935,29.3,4.499,4,307,21,386.85,6.58
17.5,0.784,0,8.14,0,0.538,5.99,81.7,4.258,4,307,21,386.75,14.67
20.2,0.803,0,8.14,0,0.538,5.456,36.6,3.796,4,307,21,288.988,11.69
18.2,0.726,0,8.14,0,0.538,5.727,69.5,3.796,4,307,21,390.949,11.28
13.6,1.252,0,8.14,0,0.538,5.57,98.1,3.798,4,307,21,376.568,21.02
19.6,0.852,0,8.14,0,0.538,5.965,89.2,4.012,4,307,21,392.529,13.83
15.2,1.232,0,8.14,0,0.538,6.142,91.7,3.977,4,307,21,396.898,18.72
14.5,0.988,0,8.14,0,0.538,5.813,100,4.095,4,307,21,394.539,19.88
15.6,0.75,0,8.14,0,0.538,5.924,94.1,4.4,4,307,21,394.328,16.3
13.9,0.841,0,8.14,0,0.538,5.599,85.7,4.455,4,307,21,303.42,16.51
16.6,0.672,0,8.14,0,0.538,5.813,90.3,4.682,4,307,21,376.879,14.81
14.8,0.956,0,8.14,0,0.538,6.047,88.8,4.453,4,307,21,306.379,17.28
18.4,0.773,0,8.14,0,0.538,6.495,94.4,4.455,4,307,21,387.939,12.8
21,1.002,0,8.14,0,0.538,6.674,87.3,4.239,4,307,21,380.229,11.98
12.7,1.131,0,8.14,0,0.538,5.713,94.1,4.233,4,307,21,360.17,22.6
14.5,1.355,0,8.14,0,0.538,6.072,100,4.175,4,307,21,376.729,13.04
13.2,1.388,0,8.14,0,0.538,5.95,82,3.99,4,307,21,232.6,27.71
13.1,1.152,0,8.14,0,0.538,5.701,95,3.787,4,307,21,358.77,18.35
13.5,1.613,0,8.14,0,0.538,6.096,96.9,3.76,4,307,21,248.31,20.34
18.9,0.064,0,5.96,0,0.499,5.933,68.2,3.36,5,279,19.2,396.898,9.68
20,0.097,0,5.96,0,0.499,5.841,61.4,3.378,5,279,19.2,377.559,11.41
21,0.08,0,5.96,0,0.499,5.85,41.5,3.934,5,279,19.2,396.898,8.77
24.7,0.175,0,5.96,0,0.499,5.966,30.2,3.847,5,279,19.2,393.43,10.13
30.8,0.028,75,2.95,0,0.428,6.595,21.8,5.401,3,252,18.3,395.629,4.32
34.9,0.034,75,2.95,0,0.428,7.024,15.8,5.401,3,252,18.3,395.619,1.98
26.6,0.127,0,6.91,0,0.448,6.77,2.9,5.721,3,233,17.9,385.408,4.84
25.3,0.141,0,6.91,0,0.448,6.169,6.6,5.721,3,233,17.9,383.369,5.81
24.7,0.159,0,6.91,0,0.448,6.211,6.5,5.721,3,233,17.9,394.459,7.44
21.2,0.123,0,6.91,0,0.448,6.069,40,5.721,3,233,17.9,389.389,9.55
19.3,0.171,0,6.91,0,0.448,5.682,33.8,5.1,3,233,17.9,396.898,10.21
20,0.188,0,6.91,0,0.448,5.786,33.3,5.1,3,233,17.9,396.898,14.15
16.6,0.229,0,6.91,0,0.448,6.03,85.5,5.689,3,233,17.9,392.738,18.8
14.4,0.254,0,6.91,0,0.448,5.399,95.3,5.87,3,233,17.9,396.898,30.81
19.4,0.22,0,6.91,0,0.448,5.602,62,6.088,3,233,17.9,396.898,16.2
19.7,0.089,21,5.64,0,0.439,5.963,45.7,6.815,4,243,16.8,395.559,13.45
20.5,0.043,21,5.64,0,0.439,6.115,63,6.815,4,243,16.8,393.969,9.43
25,0.054,21,5.64,0,0.439,6.511,21.1,6.815,4,243,16.8,396.898,5.28
23.4,0.05,21,5.64,0,0.439,5.998,21.4,6.815,4,243,16.8,396.898,8.43
18.9,0.014,75,4,0,0.41,5.888,47.6,7.32,3,469,21.1,396.898,14.8
35.4,0.013,90,1.22,0,0.403,7.249,21.9,8.697,5,226,17.9,395.93,4.81
24.7,0.021,85,0.74,0,0.41,6.383,35.7,9.188,2,313,17.3,396.898,5.77
31.6,0.014,100,1.32,0,0.411,6.816,40.5,8.325,5,256,15.1,392.898,3.95
23.3,0.154,25,5.13,0,0.453,6.145,29.2,7.815,8,284,19.7,390.68,6.86
19.6,0.103,25,5.13,0,0.453,5.927,47.2,6.932,8,284,19.7,396.898,9.22
18.7,0.149,25,5.13,0,0.453,5.741,66.2,7.225,8,284,19.7,395.109,13.15
16,0.172,25,5.13,0,0.453,5.966,93.4,6.818,8,284,19.7,378.078,14.44
22.2,0.11,25,5.13,0,0.453,6.456,67.8,7.225,8,284,19.7,396.898,6.73
25,0.126,25,5.13,0,0.453,6.762,43.4,7.981,8,284,19.7,395.578,9.5
33,0.02,17.5,1.38,0,0.416,7.104,59.5,9.223,3,216,18.6,393.238,8.05
23.5,0.036,80,3.37,0,0.398,6.29,17.8,6.611,4,337,16.1,396.898,4.67
19.4,0.044,80,3.37,0,0.398,5.787,31.1,6.611,4,337,16.1,396.898,10.24
22,0.058,12.5,6.07,0,0.409,5.878,21.4,6.498,4,345,18.9,396.209,8.1
17.4,0.136,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345,18.9,396.898,13.09
20.9,0.128,12.5,6.07,0,0.409,5.885,33,6.498,4,345,18.9,396.898,8.79
24.2,0.088,0,10.81,0,0.413,6.417,6.6,5.287,4,305,19.2,383.729,6.72
21.7,0.159,0,10.81,0,0.413,5.961,17.5,5.287,4,305,19.2,376.939,9.88
22.8,0.092,0,10.81,0,0.413,6.065,7.8,5.287,4,305,19.2,390.908,5.52
23.4,0.195,0,10.81,0,0.413,6.245,6.2,5.287,4,305,19.2,377.17,7.54
24.1,0.079,0,12.83,0,0.437,6.273,6,4.251,5,398,18.7,394.92,6.78
21.4,0.095,0,12.83,0,0.437,6.286,45,4.503,5,398,18.7,383.229,8.94
20,0.102,0,12.83,0,0.437,6.279,74.5,4.052,5,398,18.7,373.658,11.97
20.8,0.087,0,12.83,0,0.437,6.14,45.8,4.09,5,398,18.7,386.959,10.27
21.2,0.056,0,12.83,0,0.437,6.232,53.7,5.014,5,398,18.7,386.398,12.34
20.3,0.084,0,12.83,0,0.437,5.874,36.6,4.503,5,398,18.7,396.059,9.1
28,0.041,25,4.86,0,0.426,6.727,33.5,5.401,4,281,19,396.898,5.29
23.9,0.045,25,4.86,0,0.426,6.619,70.4,5.401,4,281,19,395.629,7.22
24.8,0.037,25,4.86,0,0.426,6.302,32.2,5.401,4,281,19,396.898,6.72
22.9,0.036,25,4.86,0,0.426,6.167,46.7,5.401,4,281,19,390.639,7.51
23.9,0.051,0,4.49,0,0.449,6.389,48,4.779,3,247,18.5,396.898,9.62
26.6,0.057,0,4.49,0,0.449,6.63,56.1,4.438,3,247,18.5,392.299,6.53
22.5,0.052,0,4.49,0,0.449,6.015,45.1,4.427,3,247,18.5,395.988,12.86
22.2,0.072,0,4.49,0,0.449,6.121,56.8,3.748,3,247,18.5,395.148,8.44
23.6,0.057,0,3.41,0,0.489,7.007,86.3,3.422,2,270,17.8,396.898,5.5
28.7,0.053,0,3.41,0,0.489,7.079,63.1,3.414,2,270,17.8,396.059,5.7
22.6,0.047,0,3.41,0,0.489,6.417,66.1,3.092,2,270,17.8,392.18,8.81
22,0.039,0,3.41,0,0.489,6.405,73.9,3.092,2,270,17.8,393.549,8.2
22.9,0.042,28,15.04,0,0.464,6.442,53.6,3.666,4,270,18.2,395.01,8.16
25,0.029,28,15.04,0,0.464,6.211,28.9,3.666,4,270,18.2,396.328,6.21
20.6,0.043,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,396.898,10.59
28.4,0.122,0,2.89,0,0.445,6.625,57.8,3.495,2,276,18,357.979,6.65
21.4,0.115,0,2.89,0,0.445,6.163,69.6,3.495,2,276,18,391.828,11.34
38.7,0.121,0,2.89,0,0.445,8.069,76,3.495,2,276,18,396.898,4.21
43.8,0.082,0,2.89,0,0.445,7.82,36.9,3.495,2,276,18,393.529,3.57
33.2,0.069,0,2.89,0,0.445,7.416,62.5,3.495,2,276,18,396.898,6.19
27.5,0.149,0,8.56,0,0.52,6.727,79.9,2.778,5,384,20.9,394.76,9.42
26.5,0.114,0,8.56,0,0.52,6.781,71.3,2.856,5,384,20.9,395.578,7.67
18.6,0.229,0,8.56,0,0.52,6.405,85.4,2.715,5,384,20.9,70.8,10.63
19.3,0.212,0,8.56,0,0.52,6.137,87.4,2.715,5,384,20.9,394.469,13.44
20.1,0.14,0,8.56,0,0.52,6.167,90,2.421,5,384,20.9,392.689,12.33
19.5,0.133,0,8.56,0,0.52,5.851,96.7,2.107,5,384,20.9,394.049,16.47
19.5,0.171,0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,395.67,18.66
20.4,0.131,0,8.56,0,0.52,6.127,85.2,2.122,5,384,20.9,387.689,14.09
19.8,0.128,0,8.56,0,0.52,6.474,97.1,2.433,5,384,20.9,395.238,12.27
19.4,0.264,0,8.56,0,0.52,6.229,91.2,2.545,5,384,20.9,391.229,15.55
21.7,0.108,0,8.56,0,0.52,6.195,54.4,2.778,5,384,20.9,393.488,13
22.8,0.101,0,10.01,0,0.547,6.715,81.6,2.677,6,432,17.8,395.59,10.16
18.8,0.123,0,10.01,0,0.547,5.913,92.9,2.353,6,432,17.8,394.949,16.21
18.7,0.222,0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,396.898,17.09
18.5,0.142,0,10.01,0,0.547,6.254,84.2,2.256,6,432,17.8,388.738,10.45
18.3,0.171,0,10.01,0,0.547,5.928,88.2,2.463,6,432,17.8,344.908,15.76
21.2,0.132,0,10.01,0,0.547,6.176,72.5,2.73,6,432,17.8,393.299,12.04
19.2,0.151,0,10.01,0,0.547,6.021,82.6,2.747,6,432,17.8,394.51,10.3
20.4,0.131,0,10.01,0,0.547,5.872,73.1,2.477,6,432,17.8,338.629,15.37
19.3,0.145,0,10.01,0,0.547,5.731,65.2,2.759,6,432,17.8,391.5,13.61
22,0.069,0,25.65,0,0.581,5.87,69.7,2.258,2,188,19.1,389.148,14.37
20.3,0.072,0,25.65,0,0.581,6.004,84.1,2.197,2,188,19.1,377.67,14.27
20.5,0.093,0,25.65,0,0.581,5.961,92.9,2.087,2,188,19.1,378.09,17.93
17.3,0.15,0,25.65,0,0.581,5.856,97,1.944,2,188,19.1,370.309,25.41
18.8,0.098,0,25.65,0,0.581,5.879,95.8,2.006,2,188,19.1,379.379,17.58
21.4,0.169,0,25.65,0,0.581,5.986,88.4,1.993,2,188,19.1,385.02,14.81
15.7,0.387,0,25.65,0,0.581,5.613,95.6,1.757,2,188,19.1,359.289,27.26
16.2,0.259,0,21.89,0,0.624,5.693,96,1.788,4,437,21.2,392.109,17.19
18,0.325,0,21.89,0,0.624,6.431,98.8,1.812,4,437,21.2,396.898,15.39
