HousValue,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
22.6,0.067,0.0,3.24,0,0.46,6.332999999999999,17.2,5.215,4,430,16.9,375.209,7.34
50.0,9.232000000000001,0.0,18.1,0,0.631,6.216,100.0,1.169,24,666,20.2,366.148,9.53
23.0,0.114,0.0,13.89,1,0.55,6.372999999999999,92.4,3.363,5,276,16.4,393.73800000000006,10.5
8.3,24.802,0.0,18.1,0,0.693,5.349,96.0,1.703,24,666,20.2,396.898,19.77
21.2,0.055999999999999994,0.0,12.83,0,0.43700000000000006,6.232,53.7,5.013999999999999,5,398,18.7,386.398,12.34
19.9,0.627,0.0,8.14,0,0.5379999999999999,5.834,56.5,4.499,4,307,21.0,395.619,8.47
20.6,4.836,0.0,18.1,0,0.583,5.905,53.2,3.1519999999999997,24,666,20.2,388.219,11.45
18.7,0.062,0.0,5.19,0,0.515,5.968,58.5,4.812,5,224,20.2,396.898,9.29
16.1,2.635,0.0,9.9,0,0.544,4.973,37.8,2.519,4,304,18.4,350.449,12.64
18.6,0.22899999999999998,0.0,8.56,0,0.52,6.405,85.4,2.715,5,384,20.9,70.8,10.63
8.8,73.53399999999999,0.0,18.1,0,0.679,5.957000000000001,100.0,1.8030000000000002,24,666,20.2,16.45,20.62
17.2,14.050999999999998,0.0,18.1,0,0.597,6.657,100.0,1.527,24,666,20.2,35.05,21.22
14.9,6.287999999999999,0.0,18.1,0,0.74,6.341,96.4,2.072,24,666,20.2,318.01,17.79
10.5,24.394000000000002,0.0,18.1,0,0.7,4.652,100.0,1.4669999999999999,24,666,20.2,396.898,28.28
50.0,1.834,0.0,19.58,1,0.605,7.8020000000000005,98.2,2.041,5,403,14.7,389.60900000000004,1.92
29.0,0.055999999999999994,70.0,2.24,0,0.4,7.041,10.0,7.827999999999999,5,358,14.8,371.57800000000003,4.74
23.0,5.824,0.0,18.1,0,0.532,6.242000000000001,64.7,3.424,24,666,20.2,396.898,10.74
33.3,0.04,80.0,1.52,0,0.40399999999999997,7.287000000000001,34.1,7.309,2,329,12.6,396.898,4.08
29.4,0.067,0.0,4.05,0,0.51,6.546,33.1,3.1319999999999997,5,296,16.6,390.959,5.33
21.0,0.08,0.0,5.96,0,0.499,5.85,41.5,3.9339999999999997,5,279,19.2,396.898,8.77
23.8,0.168,0.0,7.38,0,0.493,6.426,52.3,4.54,5,287,19.6,396.898,7.2
19.1,2.314,0.0,19.58,0,0.605,5.88,97.3,2.3890000000000002,5,403,14.7,348.129,12.03
20.4,0.131,0.0,8.56,0,0.52,6.127000000000001,85.2,2.122,5,384,20.9,387.689,14.09
29.1,0.08,40.0,6.41,0,0.447,6.482,32.1,4.14,4,254,17.6,396.898,7.19
19.3,0.171,0.0,6.91,0,0.44799999999999995,5.682,33.8,5.1,3,233,17.9,396.898,10.21
23.1,13.522,0.0,18.1,0,0.631,3.863,100.0,1.511,24,666,20.2,131.42,13.33
19.6,0.852,0.0,8.14,0,0.5379999999999999,5.965,89.2,4.012,4,307,21.0,392.529,13.83
19.4,2.149,0.0,19.58,0,0.871,5.709,98.5,1.6230000000000002,5,403,14.7,261.949,15.79
38.7,0.121,0.0,2.89,0,0.445,8.068999999999999,76.0,3.495,2,276,18.0,396.898,4.21
18.7,0.222,0.0,10.01,0,0.547,6.0920000000000005,95.4,2.548,6,432,17.8,396.898,17.09
14.6,10.232999999999999,0.0,18.1,0,0.614,6.185,96.7,2.17,24,666,20.2,379.699,18.03
20.0,6.801,0.0,18.1,0,0.713,6.081,84.4,2.717,24,666,20.2,396.898,14.7
20.5,0.19699999999999998,22.0,5.86,0,0.431,6.226,79.2,8.055,7,330,19.1,376.139,10.15
20.1,0.106,30.0,4.93,0,0.428,6.095,65.1,6.336,6,300,16.6,394.619,12.4
23.6,0.092,0.0,4.05,0,0.51,6.416,84.1,2.6460000000000004,5,296,16.6,395.5,9.04
16.8,4.2219999999999995,0.0,18.1,1,0.77,5.803,89.0,1.905,24,666,20.2,353.039,14.64
5.6,25.046,0.0,18.1,0,0.693,5.987,100.0,1.589,24,666,20.2,396.898,26.77
50.0,8.267000000000001,0.0,18.1,1,0.6679999999999999,5.875,89.6,1.13,24,666,20.2,347.879,8.88
14.5,8.492,0.0,18.1,0,0.584,6.348,86.1,2.053,24,666,20.2,83.45,17.64
13.3,6.393,0.0,18.1,0,0.584,6.162000000000001,97.4,2.206,24,666,20.2,302.76,24.1
23.9,0.083,0.0,13.92,0,0.43700000000000006,6.127000000000001,18.4,5.502999999999999,4,289,16.0,396.898,8.58
20.0,0.188,0.0,6.91,0,0.44799999999999995,5.7860000000000005,33.3,5.1,3,233,17.9,396.898,14.15
19.8,0.045,0.0,3.24,0,0.46,6.144,32.2,5.874,4,430,16.9,368.56800000000004,9.09
13.8,8.056000000000001,0.0,18.1,0,0.584,5.4270000000000005,95.4,2.43,24,666,20.2,352.57800000000003,18.14
16.5,0.025,0.0,1.89,0,0.518,6.54,59.7,6.267,1,422,15.9,389.959,8.65
21.6,0.027000000000000003,0.0,7.07,0,0.469,6.421,78.9,4.967,2,242,17.8,396.898,9.14
20.3,0.141,0.0,13.92,0,0.43700000000000006,5.79,58.0,6.32,4,289,16.0,396.898,15.84
17.0,1.4140000000000001,0.0,19.58,1,0.871,6.129,96.0,1.749,5,403,14.7,321.02,15.12
11.8,2.78,0.0,19.58,0,0.871,4.9030000000000005,97.8,1.3459999999999999,5,403,14.7,396.898,29.29
27.5,0.149,0.0,8.56,0,0.52,6.727,79.9,2.778,5,384,20.9,394.76,9.42
15.6,3.535,0.0,19.58,1,0.871,6.152,82.6,1.745,5,403,14.7,88.01,15.02
23.1,0.179,0.0,9.69,0,0.585,5.67,28.8,2.799,6,391,19.2,393.289,17.6
24.3,0.537,0.0,6.2,0,0.504,5.981,68.1,3.6710000000000003,8,307,17.4,378.35,11.65
42.8,0.369,22.0,5.86,0,0.431,8.259,8.4,8.907,7,330,19.1,396.898,3.54
15.6,0.976,0.0,21.89,0,0.624,5.757000000000001,98.4,2.346,4,437,21.2,262.76,17.31
21.7,0.094,12.5,7.87,0,0.524,5.888999999999999,39.0,5.4510000000000005,5,311,15.2,390.5,15.71
17.1,0.05,35.0,6.06,0,0.43799999999999994,5.706,28.4,6.641,1,304,16.9,394.02,12.43
17.2,0.062,0.0,4.39,0,0.442,5.898,52.3,8.014,3,352,18.8,364.60900000000004,12.67
15.0,51.136,0.0,18.1,0,0.597,5.757000000000001,100.0,1.413,24,666,20.2,2.6,10.11
21.7,0.174,0.0,10.59,1,0.489,5.96,92.1,3.877,4,277,18.6,393.25,17.27
18.6,0.07200000000000001,60.0,1.69,0,0.41100000000000003,5.8839999999999995,18.5,10.71,4,411,18.3,392.32800000000003,7.79
21.0,0.475,0.0,9.9,0,0.544,6.1129999999999995,58.8,4.002,4,304,18.4,396.22900000000004,12.73
33.1,0.1,34.0,6.09,0,0.433,6.982,17.7,5.492000000000001,7,329,16.1,390.43,4.86
31.5,0.442,0.0,6.2,0,0.504,6.5520000000000005,21.4,3.375,8,307,17.4,380.34,3.76
20.1,13.075,0.0,18.1,0,0.58,5.712999999999999,56.7,2.824,24,666,20.2,396.898,14.76
29.8,0.126,45.0,3.44,0,0.43700000000000006,6.556,29.1,4.567,5,398,15.2,382.84,4.56
15.2,5.441,0.0,18.1,0,0.713,6.655,98.2,2.355,24,666,20.2,355.289,17.73
15.0,0.225,12.5,7.87,0,0.524,6.377000000000001,94.3,6.347,5,311,15.2,392.52,20.45
27.5,14.437999999999999,0.0,18.1,0,0.597,6.852,100.0,1.465,24,666,20.2,179.359,19.78
22.6,0.136,0.0,10.59,0,0.489,5.891,22.3,3.945,4,277,18.6,396.898,10.87
20.0,0.102,0.0,12.83,0,0.43700000000000006,6.279,74.5,4.052,5,398,18.7,373.658,11.97
21.4,0.095,0.0,12.83,0,0.43700000000000006,6.2860000000000005,45.0,4.503,5,398,18.7,383.22900000000004,8.94
23.5,0.036000000000000004,80.0,3.37,0,0.39799999999999996,6.29,17.8,6.611000000000001,4,337,16.1,396.898,4.67
31.2,0.03,55.0,3.78,0,0.484,6.874,28.1,6.465,5,370,17.6,387.969,4.61
23.7,5.707999999999999,0.0,18.1,0,0.532,6.75,74.9,3.332,24,666,20.2,393.06800000000004,7.74
7.4,22.596999999999998,0.0,18.1,0,0.7,5.0,89.5,1.518,24,666,20.2,396.898,31.99
48.3,0.331,0.0,6.2,0,0.507,8.247,70.4,3.6519999999999997,8,307,17.4,378.949,3.95
24.4,0.23,0.0,10.59,0,0.489,6.3260000000000005,52.5,4.355,4,277,18.6,394.869,10.97
22.6,0.047,0.0,3.41,0,0.489,6.417000000000001,66.1,3.092,2,270,17.8,392.18,8.81
18.3,0.268,0.0,9.69,0,0.585,5.794,70.6,2.8930000000000002,6,391,19.2,396.898,14.1
23.3,0.09300000000000001,30.0,4.93,0,0.428,6.606,42.2,6.19,6,300,16.6,383.779,7.37
17.1,0.35200000000000004,0.0,21.89,0,0.624,6.454,98.4,1.85,4,437,21.2,394.07800000000003,14.59
27.9,11.950999999999999,0.0,18.1,0,0.659,5.608,100.0,1.285,24,666,20.2,332.09,12.13
44.8,0.315,0.0,6.2,0,0.504,8.266,78.3,2.8939999999999997,8,307,17.4,385.04900000000004,4.14
50.0,0.527,0.0,6.2,0,0.504,8.725,83.0,2.8939999999999997,8,307,17.4,382.0,4.63
23.0,0.303,0.0,7.38,0,0.493,6.312,28.9,5.416,5,287,19.6,396.898,6.15
21.4,0.115,0.0,2.89,0,0.445,6.162999999999999,69.6,3.495,2,276,18.0,391.82800000000003,11.34
10.2,12.247,0.0,18.1,0,0.584,5.837000000000001,59.7,1.9980000000000002,24,666,20.2,24.65,15.69
23.3,1.425,0.0,19.58,0,0.871,6.51,100.0,1.766,5,403,14.7,364.309,7.39
23.2,5.292999999999999,0.0,18.1,0,0.7,6.051,82.5,2.168,24,666,20.2,378.379,18.76
18.9,0.013999999999999999,75.0,4.0,0,0.41,5.888,47.6,7.32,3,469,21.1,396.898,14.8
13.4,11.16,0.0,18.1,0,0.74,6.629,94.6,2.125,24,666,20.2,109.85,23.27
21.9,0.048,80.0,3.64,0,0.392,6.108,32.0,9.22,1,315,16.4,392.889,6.57
24.8,0.044000000000000004,70.0,2.24,0,0.4,6.871,47.4,7.827999999999999,5,358,14.8,390.85900000000004,6.07
11.9,0.047,0.0,11.93,0,0.573,6.03,80.8,2.505,1,273,21.0,396.898,7.88
24.3,0.34,22.0,5.86,0,0.431,6.108,34.9,8.055,7,330,19.1,390.18,9.16
13.8,18.498,0.0,18.1,0,0.6679999999999999,4.138,100.0,1.137,24,666,20.2,396.898,37.97
24.7,0.021,85.0,0.74,0,0.41,6.382999999999999,35.7,9.187999999999999,2,313,17.3,396.898,5.77
14.1,4.752,0.0,18.1,0,0.713,6.525,86.5,2.436,24,666,20.2,50.92,18.13
18.7,0.149,25.0,5.13,0,0.45299999999999996,5.7410000000000005,66.2,7.225,8,284,19.7,395.10900000000004,13.15
28.1,0.141,0.0,10.59,0,0.489,6.375,32.3,3.945,4,277,18.6,385.809,9.38
19.8,0.128,0.0,8.56,0,0.52,6.474,97.1,2.4330000000000003,5,384,20.9,395.23800000000006,12.27
26.7,0.358,0.0,6.2,1,0.507,6.9510000000000005,88.5,2.862,8,307,17.4,391.699,9.71
21.7,0.159,0.0,10.81,0,0.413,5.961,17.5,5.287000000000001,4,305,19.2,376.939,9.88
22.0,0.113,30.0,4.93,0,0.428,6.897,54.3,6.336,6,300,16.6,391.25,11.38
22.9,0.08800000000000001,12.5,7.87,0,0.524,6.0120000000000005,66.6,5.56,5,311,15.2,395.6,12.43
10.4,25.941,0.0,18.1,0,0.679,5.303999999999999,89.1,1.6469999999999998,24,666,20.2,127.36,26.64
21.9,3.697,0.0,18.1,0,0.718,4.963,91.4,1.7519999999999998,24,666,20.2,316.029,14.0
20.6,0.045,0.0,11.93,0,0.573,6.12,76.7,2.287,1,273,21.0,396.898,9.08
26.4,0.09300000000000001,34.0,6.09,0,0.433,6.495,18.4,5.492000000000001,7,329,16.1,383.60900000000004,8.67
41.3,1.224,0.0,19.58,0,0.605,6.943,97.4,1.8769999999999998,5,403,14.7,363.43,4.59
17.2,7.404,0.0,18.1,0,0.597,5.617000000000001,97.9,1.455,24,666,20.2,314.639,26.4
27.1,0.145,12.5,7.87,0,0.524,6.172000000000001,96.1,5.95,5,311,15.2,396.898,19.15
20.4,0.131,0.0,10.01,0,0.547,5.872000000000001,73.1,2.477,6,432,17.8,338.629,15.37
16.5,0.21100000000000002,12.5,7.87,0,0.524,5.631,100.0,6.082000000000001,5,311,15.2,386.629,29.93
24.4,0.136,0.0,10.59,1,0.489,6.064,59.1,4.239,4,277,18.6,381.31800000000004,14.66
8.4,13.677999999999999,0.0,18.1,0,0.74,5.935,87.9,1.821,24,666,20.2,68.95,34.02
23.0,0.59,0.0,21.89,0,0.624,6.372000000000001,97.9,2.327,4,437,21.2,385.76,11.12
9.7,11.578,0.0,18.1,0,0.7,5.0360000000000005,97.0,1.77,24,666,20.2,396.898,25.68
50.0,0.015,90.0,1.21,1,0.401,7.922999999999999,24.8,5.885,1,198,13.6,395.52,3.16
30.5,0.069,45.0,3.44,0,0.43700000000000006,6.739,30.8,6.48,5,398,15.2,389.709,4.69
12.3,7.992000000000001,0.0,18.1,0,0.7,5.52,100.0,1.5330000000000001,24,666,20.2,396.898,24.56
19.4,0.22,0.0,6.91,0,0.44799999999999995,5.602,62.0,6.087999999999999,3,233,17.9,396.898,16.2
21.2,0.239,0.0,9.69,0,0.585,6.019,65.3,2.4090000000000003,6,391,19.2,396.898,12.92
20.3,0.349,0.0,9.9,0,0.544,5.972,76.7,3.102,4,304,18.4,396.23800000000006,9.97
