ConcreteCompressiveStrength,Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age
21.91,297.2,0.0,117.5,174.8,9.5,1022.8,753.5,3
19.93,238.1,0.0,94.1,186.7,7.0,949.9,847.0,3
36.44,140.0,133.0,103.0,200.0,7.0,916.0,753.0,28
11.96,203.5,135.7,0.0,185.7,0.0,1076.2,759.3,7
39.84,162.0,207.0,172.0,216.0,10.0,822.0,638.0,28
66.95,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100
21.18,339.2,0.0,0.0,185.7,0.0,1069.2,754.3,7
52.12,342.0,38.0,0.0,228.0,0.0,932.0,670.0,180
39.06,374.3,0.0,0.0,190.2,6.7,1013.2,730.4,28
21.82,210.7,316.1,0.0,185.7,0.0,977.0,689.3,7
39.23,168.0,42.1,163.8,121.8,5.7,1058.7,780.1,100
15.03,212.0,141.3,0.0,203.5,0.0,973.4,750.0,7
25.1,312.7,0.0,0.0,178.1,8.0,999.7,822.2,28
26.97,136.0,196.0,98.0,199.0,6.0,847.0,783.0,28
10.34,238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7
26.86,153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28
38.41,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270
56.63,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100
67.7,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28
36.99,297.2,0.0,117.5,174.8,9.5,1022.8,753.5,14
24.99,194.7,0.0,100.5,165.6,7.5,1006.4,905.9,14
51.26,213.5,0.0,174.2,159.2,11.7,1043.6,771.9,56
17.44,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7
59.0,356.0,119.0,0.0,160.0,9.0,1061.0,657.0,28
61.8,425.0,106.3,0.0,151.4,18.6,936.0,803.7,28
46.25,289.0,133.7,0.0,194.9,5.5,924.1,760.1,28
39.16,178.0,129.8,118.6,179.9,3.6,1007.3,746.8,28
32.82,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7
33.8,255.0,99.0,77.0,189.0,6.0,919.0,749.0,28
17.22,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,3
43.7,380.0,95.0,0.0,228.0,0.0,932.0,594.0,365
46.68,387.0,20.0,94.0,157.0,13.9,938.0,845.0,28
22.63,203.5,135.7,0.0,185.7,0.0,1076.2,759.3,28
23.52,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,3
33.4,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3
33.72,261.9,110.5,86.1,195.4,5.0,895.2,732.6,28
20.42,236.0,157.0,0.0,192.0,0.0,972.6,749.1,7
26.85,300.0,0.0,0.0,184.0,0.0,1075.0,795.0,28
25.56,153.1,145.0,113.0,178.5,8.0,1001.9,688.7,28
20.73,178.0,129.8,118.6,179.9,3.6,1007.3,746.8,3
33.4,318.8,212.5,0.0,155.7,14.3,852.1,880.4,7
14.99,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,3
38.22,309.9,142.8,111.2,167.8,22.1,913.9,651.2,28
38.63,326.5,0.0,137.9,199.0,10.8,801.1,792.5,28
35.23,295.7,0.0,95.6,171.5,8.9,955.1,859.2,14
28.99,155.2,183.9,143.2,193.8,9.2,879.6,698.5,28
31.65,339.0,0.0,0.0,185.0,0.0,1060.0,754.0,28
26.14,144.0,136.0,106.0,178.0,7.0,941.0,774.0,28
28.6,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3
46.64,213.7,0.0,174.7,154.8,10.2,1053.5,776.4,56
22.84,233.8,0.0,94.6,197.9,4.6,947.0,852.2,28
35.76,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90
61.92,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,180
51.04,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,180
56.7,375.0,93.8,0.0,126.6,23.4,852.1,992.6,28
10.38,233.8,0.0,94.6,197.9,4.6,947.0,852.2,3
42.8,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7
21.06,190.7,0.0,125.4,162.1,7.8,1090.0,804.0,14
33.19,122.6,183.9,0.0,203.5,0.0,958.2,800.1,90
44.4,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,56
53.69,190.0,190.0,0.0,228.0,0.0,932.0,670.0,365
43.7,427.5,47.5,0.0,228.0,0.0,932.0,594.0,365
54.28,480.0,0.0,0.0,192.0,0.0,936.0,721.0,90
56.06,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100
24.58,149.0,153.0,194.0,192.0,8.0,935.0,623.0,28
33.76,162.0,190.0,148.0,179.0,19.0,838.0,741.0,28
55.94,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,28
37.81,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28
23.85,436.0,0.0,0.0,218.0,0.0,838.4,719.7,28
26.31,212.5,0.0,100.4,159.3,8.7,1007.8,903.6,14
28.1,388.6,97.1,0.0,157.9,12.1,852.1,925.7,3
24.89,222.4,0.0,96.7,189.3,4.5,967.1,870.3,28
33.72,262.0,111.0,86.0,195.0,5.0,895.0,733.0,28
9.74,154.8,0.0,142.8,193.3,9.1,877.2,867.7,28
72.99,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56
72.1,424.0,22.0,132.0,168.0,8.9,822.0,750.0,28
54.9,469.0,117.2,0.0,137.8,32.2,852.1,840.5,7
9.56,203.5,305.3,0.0,203.5,0.0,963.4,630.0,3
47.97,387.0,20.0,94.0,157.0,13.9,938.0,845.0,56
53.52,298.0,137.0,107.0,201.0,6.0,878.0,655.0,28
36.94,397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28
47.1,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7
56.14,342.0,38.0,0.0,228.0,0.0,932.0,670.0,365
40.23,213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28
