usr,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap
0,11,6,1512,98,59,0.4,0.4,313126,16402,163.0,92,7
94,2,0,317,40,23,0.2,0.2,35889,6305,1.8,476,1746894
80,3,0,862,78,209,2.0,2.6,267700,63938,2.8,2242,1796314
94,12,11,1351,121,113,0.2,0.2,231592,84571,2.6,976,1086653
95,1,0,1130,96,49,0.2,0.2,106879,15422,2.0,134,1013482
90,6,2,2810,467,250,0.4,1.8,292182,101724,4.4,3058,1605155
86,99,121,3142,245,190,1.4,3.0,361331,69490,5.2,10382,1374640
93,1,0,1930,113,128,0.2,0.2,134171,244514,2.6,136,1539870
75,22,14,3398,232,144,5.39,7.39,165777,46649,1.8,181,1015425
73,22,8,6591,176,98,4.0,9.0,169740,99954,3.8,156,1317042
85,97,126,3958,138,103,1.8,2.8,119994,32326,1.7,414,1012853
76,34,5,4791,581,358,4.2,1.4,211613,53201,9.2,146,1288742
88,3,1,418,44,17,2.2,2.2,91498,21389,1.6,8942,1873310
98,0,0,133,8,9,0.2,0.2,977,6114,1.0,11958,1884974
95,1,0,917,70,37,0.6,1.0,16214,19692,3.5,2854,1009477
96,2,1,253,22,24,0.8,0.8,34552,22677,1.2,7091,1846198
72,22,4,3675,661,464,7.0,3.4,353396,189025,1.0,890,1010875
90,1,0,2112,109,89,0.8,3.61,108588,121214,1.8,2448,1012757
77,64,71,5534,657,234,5.41,5.41,161992,51093,1.2,290,1008295
95,19,28,454,198,62,0.2,0.2,328739,239199,2.2,1537,1746402
55,16,2,7472,815,570,12.77,9.98,428576,117636,1.0,274,996176
83,6,0,3018,417,241,2.0,2.59,1224535,193082,1.3,406,1071511
79,7,4,4627,1283,136,2.0,3.59,509700,50768,1.8,243,1130699
0,6,5,1893,237,136,0.4,0.4,708874,681925,247.0,86,14
71,65,23,4564,199,122,2.4,7.78,495455,54727,4.4,154,1316873
94,1,0,1089,103,100,0.2,0.2,8045,51111,2.2,413,1106748
92,36,54,1470,182,142,0.2,0.2,16784,40472,1.5,648,1120458
89,0,0,755,106,74,0.2,0.2,74771,37926,1.2,2104,1764972
71,16,10,7028,785,368,1.8,2.2,369782,215738,6.4,220,1587542
75,22,14,1856,110,92,7.0,19.4,99492,27575,5.2,307,1106643
72,58,38,6469,314,340,0.4,0.4,461409,283782,3.8,122,999623
0,43,54,1614,171,124,1.4,5.6,203635,111536,637.0,89,9
95,57,56,958,130,86,0.6,0.4,56797,50759,2.8,175,991931
67,52,16,7332,562,507,3.8,9.0,243486,68862,3.8,324,1396166
72,13,9,5911,184,181,3.6,9.4,75490,343226,3.6,998,1377794
97,1,1,1072,58,44,0.2,0.2,261668,133124,1.8,8228,1863022
97,2,0,909,81,62,1.0,1.0,4380,16902,1.0,197,999130
88,11,5,2725,243,140,0.2,1.6,34737,61559,1.3,205,1107142
85,21,1,3336,598,572,3.0,2.0,587782,464470,1.8,509,1066181
91,2,0,925,128,87,0.8,6.8,395229,88354,2.4,704,1756390
0,23,21,2458,180,137,0.4,0.4,11664,33798,362.0,94,6
98,0,0,147,9,15,0.2,0.2,440,10300,1.0,8423,1867360
91,3,0,1923,176,77,1.2,1.4,115148,36799,1.0,176,1126896
90,10,0,1036,177,75,2.6,5.8,288087,190120,3.6,1605,1732917
95,2,1,740,174,31,1.0,1.0,1260379,17197,2.6,3131,1845962
71,35,0,4592,206,103,9.02,22.24,324995,28209,3.6,204,1088414
97,1,1,394,208,51,0.2,0.2,379080,332905,2.6,5746,1834560
94,12,11,1222,163,131,0.4,0.2,41368,54403,1.0,136,1011194
97,60,78,237,36,25,0.2,0.2,8085,8482,1.0,8509,1837342
84,16,0,1404,131,100,3.4,4.0,71028,29572,1.5,145,1058082
84,14,2,4407,228,211,1.0,1.2,46198,34261,2.0,420,1065842
87,2,1,2826,208,120,0.8,0.8,449006,120906,2.2,237,989936
90,3,0,370,21,24,0.8,0.8,22085,6406,2.2,1060,1752096
86,160,169,930,155,68,1.0,2.0,765731,275305,3.6,3720,1811906
71,9,0,3044,278,264,8.02,18.64,330420,127851,1.7,123,1104948
67,52,19,7237,522,211,7.58,7.98,235939,45053,2.0,250,1108706
71,84,109,4458,398,247,1.0,0.4,554419,149277,6.0,279,1297440
74,7,1,1950,180,97,5.99,6.19,397379,148245,1.6,365,1005349
93,1,0,3016,144,102,0.2,0.2,305394,11274,2.8,6120,1729688
