usr,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap
0,11,6,1512,98,59,0.4,0.4,313126,16402,163.0,92,7
99,0,0,175,16,37,0.2,0.2,1239,22025,1.0,6169,1855848
88,17,2,3284,239,136,0.8,1.0,372709,66373,3.6,334,1531936
91,0,0,279,31,30,0.2,0.2,109280,34524,1.4,2039,1770862
90,4,4,1901,213,103,0.4,0.8,616593,504045,4.6,3058,1032533
94,2,0,317,40,23,0.2,0.2,35889,6305,1.8,476,1746894
80,3,0,862,78,209,2.0,2.6,267700,63938,2.8,2242,1796314
90,6,2,2810,467,250,0.4,1.8,292182,101724,4.4,3058,1605155
96,2,1,986,73,54,0.2,0.2,5562,23881,2.3,217,1013784
89,15,12,1664,109,79,1.2,1.0,62620,31710,5.0,244,1059291
80,4,1,4174,435,389,2.6,3.0,241550,220264,2.4,252,1130003
90,6,4,1932,66,85,1.0,0.8,67203,79964,3.5,165,1128728
88,5,0,1477,78,104,1.4,1.2,99256,62865,3.5,701,1059029
96,22,29,792,71,40,0.2,0.2,11629,55572,1.4,6796,1853318
85,97,126,3958,138,103,1.8,2.8,119994,32326,1.7,414,1012853
92,15,5,2715,283,180,0.2,0.2,40059,37693,1.0,641,1077050
90,2,0,1887,58,47,1.4,4.2,48685,6603,1.6,4586,1828430
96,0,0,200,32,31,0.2,0.2,700,15435,1.0,605,1727257
95,1,0,917,70,37,0.6,1.0,16214,19692,3.5,2854,1009477
96,2,1,253,22,24,0.8,0.8,34552,22677,1.2,7091,1846198
77,64,71,5534,657,234,5.41,5.41,161992,51093,1.2,290,1008295
89,47,29,1055,101,86,1.0,1.4,17622,26557,1.7,241,1066601
55,16,2,7472,815,570,12.77,9.98,428576,117636,1.0,274,996176
91,18,15,3448,173,118,0.4,0.4,35249,49677,5.0,169,1519323
79,7,4,4627,1283,136,2.0,3.59,509700,50768,1.8,243,1130699
0,6,5,1893,237,136,0.4,0.4,708874,681925,247.0,86,14
94,1,0,1089,103,100,0.2,0.2,8045,51111,2.2,413,1106748
71,16,10,7028,785,368,1.8,2.2,369782,215738,6.4,220,1587542
75,22,14,1856,110,92,7.0,19.4,99492,27575,5.2,307,1106643
89,4,0,4017,268,190,0.6,1.8,449731,221130,4.6,813,1318486
87,3,0,3940,271,182,1.0,0.8,362811,124977,2.0,443,1075396
72,58,38,6469,314,340,0.4,0.4,461409,283782,3.8,122,999623
90,3,0,2085,179,149,3.2,1.4,88147,9965,1.6,145,1750694
0,43,54,1614,171,124,1.4,5.6,203635,111536,637.0,89,9
67,52,16,7332,562,507,3.8,9.0,243486,68862,3.8,324,1396166
97,1,1,1072,58,44,0.2,0.2,261668,133124,1.8,8228,1863022
88,1,0,1745,99,62,0.6,0.6,172724,9196,2.6,779,1750693
0,23,21,2458,180,137,0.4,0.4,11664,33798,362.0,94,6
98,0,0,147,9,15,0.2,0.2,440,10300,1.0,8423,1867360
91,3,0,1923,176,77,1.2,1.4,115148,36799,1.0,176,1126896
74,28,14,6780,255,145,2.8,3.8,149186,69030,3.6,864,1642715
78,2,0,667,85,37,2.8,4.4,323466,58226,2.2,1407,1802781
97,11,15,277,45,33,0.2,0.2,253502,33525,1.4,9219,1867472
97,1,1,394,208,51,0.2,0.2,379080,332905,2.6,5746,1834560
77,1,0,8840,492,321,0.2,0.2,24851,65220,2.3,131,1058443
98,0,0,406,33,19,0.2,0.2,1111,11640,1.2,586,1736241
76,21,15,4885,301,182,2.8,8.4,217813,204250,3.8,1910,1576610
97,60,78,237,36,25,0.2,0.2,8085,8482,1.0,8509,1837342
96,1,0,1219,155,105,0.2,0.2,8458,26050,2.0,219,1067466
90,3,0,2201,201,74,0.4,1.0,111582,23487,3.6,139,1112096
96,2,0,801,62,62,0.4,0.4,29439,38059,1.0,792,1014876
84,14,2,4407,228,211,1.0,1.2,46198,34261,2.0,420,1065842
86,160,169,930,155,68,1.0,2.0,765731,275305,3.6,3720,1811906
71,9,0,3044,278,264,8.02,18.64,330420,127851,1.7,123,1104948
67,52,19,7237,522,211,7.58,7.98,235939,45053,2.0,250,1108706
97,2,1,301,27,37,0.6,0.4,90093,15683,1.2,7435,1875941
71,84,109,4458,398,247,1.0,0.4,554419,149277,6.0,279,1297440
81,5,0,3901,222,134,3.59,3.39,441690,89857,1.7,216,1115104
74,7,1,1950,180,97,5.99,6.19,397379,148245,1.6,365,1005349
93,1,0,3016,144,102,0.2,0.2,305394,11274,2.8,6120,1729688
0,60,78,1839,203,129,0.8,1.2,603041,462290,2823.0,77,23
97,4,0,187,11,16,0.4,0.4,433,11308,1.2,8227,1860893
92,18,0,1228,174,155,1.0,0.8,214763,88986,2.8,1569,1531693
62,48,0,2778,235,111,11.8,34.0,171649,124322,4.7,181,1103187
93,2,2,1935,280,274,0.4,1.4,57186,32631,1.7,552,1045416
86,3,1,572,120,31,2.8,2.8,90781,61249,1.2,5759,1847078
95,1,0,2135,68,103,0.2,0.2,3939,12896,2.6,1416,1725048
97,0,0,556,47,36,0.2,0.2,1332,14788,3.0,1277,1712936
88,4,1,548,80,85,2.2,1.8,257084,218771,1.6,5861,1849299
58,54,34,5657,777,594,11.4,6.8,446525,68465,2.0,424,1031053
89,8,5,2119,175,110,0.6,1.0,73746,40532,2.4,147,1531090
90,1,0,1541,146,118,0.6,0.8,28217,19883,2.7,167,1098957
82,16,4,2715,244,137,1.6,1.8,347384,46348,1.0,284,1019566
0,12,7,1279,105,65,0.8,2.59,38119,32996,545.0,91,9
93,1,0,839,135,174,0.4,0.4,94748,34095,3.2,1353,1716182
56,87,57,3900,216,143,12.38,33.93,220639,88324,2.0,165,1104481
0,67,66,1117,430,154,0.4,0.2,631396,632869,688.0,94,6
