"Sa","RollRate","PitchRate","currPitch","currRoll","diffRollRate"
-1e-04,0.002,0.0025,0.015,0.01,-4e-05
3e-04,-0.0023,3e-04,0.022,-0.011,5e-05
-2e-04,0.0059,-6e-04,0.014,-0.005,0.00017
-2e-04,0.0046,1e-04,0.011,0.015,-9e-05
2e-04,-0.0076,0.0012,0.01,0.001,-1e-04
1e-04,-0.0073,0.0013,0.01,-0.013,6e-05
-1e-04,0.0054,0.0027,0.017,-0.022,0.00014
-1e-04,0.0061,0.0018,0.019,-0.008,-1e-05
1e-04,-0.0038,8e-04,0.015,-0.014,1e-05
1e-04,0.0041,0.0012,0.013,-0.011,5e-05
-1e-04,0.0058,0.0012,0.014,0.002,4e-05
-1e-04,0.0056,0.0013,0.014,0.01,-4e-05
2e-04,-0.0067,1e-04,0.012,0.004,-0.00011
-2e-04,0.0042,0.0027,0.008,-0.007,9e-05
1e-04,-0.0033,4e-04,0.013,-0.013,0
-1e-04,0.0044,0.0015,0.009,-0.001,1e-05
-2e-04,0.0044,4e-04,0.008,0.01,8e-05
2e-04,-0.0047,-4e-04,0.016,0.008,-8e-05
-1e-04,0.0047,-2e-04,0.003,0.005,0.00014
-2e-04,0.0059,0.0017,0.005,0.013,4e-05
1e-04,-0.0054,7e-04,0.017,0.015,-0.00011
1e-04,-0.0061,8e-04,0.017,0.005,-2e-05
-2e-04,0.0043,-4e-04,0.007,-0.006,0.00013
2e-04,-0.0051,0.0014,0.011,-0.014,-3e-05
-2e-04,0.0067,2e-04,0.01,0,4e-05
1e-04,0.0048,0.0012,0.011,0.011,-0.00017
1e-04,-0.0038,8e-04,0.011,0.015,-2e-04
2e-04,-0.0067,1e-04,0.009,0.006,-0.00014
-1e-04,0.0053,7e-04,0.005,-0.002,4e-05
-2e-04,0.0031,0.0019,0.008,0.01,-0.00011
1e-04,-0.0065,0.0022,0.014,0.005,-0.00017
2e-04,-0.0068,-8e-04,0.011,-0.01,1e-04
-1e-04,0.0067,0.002,0.003,-0.004,8e-05
-2e-04,0.0044,0.0023,0.007,0.011,-0.00013
3e-04,-0.0088,0.0016,0.014,-0.009,-1e-04
1e-04,-0.0047,-1e-04,0.012,-0.028,0.00024
-1e-04,0.0057,-1e-04,0.007,-0.026,0.00022
-1e-04,0.0088,1e-04,0.004,-0.004,3e-05
-1e-04,0.0068,0.0013,0.006,0.013,-0.00014
1e-04,-0.0074,0.0014,0.011,0.006,-1e-04
-1e-04,0.005,0.001,0.012,-0.022,0.00016
1e-04,-0.0045,5e-04,0.011,-0.011,-5e-05
2e-04,-0.0058,0.0016,0.009,-0.014,-5e-05
-1e-04,0.008,0.0011,0.01,-0.005,8e-05
-1e-04,0.0054,0.0014,0.012,0.015,-0.00014
1e-04,-0.0036,0.0015,0.015,0.019,-0.00017
1e-04,-0.0061,0.0014,0.017,0.002,-3e-05
1e-04,-0.0035,-5e-04,0.017,-0.012,0.00012
-2e-04,0.0065,-1e-04,0.012,-0.003,0.00014
-2e-04,0.0023,0.0012,0.012,0.027,-0.00015
2e-04,-0.0052,9e-04,0.013,0.023,-0.00029
1e-04,-0.0038,-8e-04,0.007,-0.01,0.00012
-2e-04,0.0045,0.0019,0,-0.006,0.00011
1e-04,-0.004,0.0015,0.009,-0.01,-1e-05
-1e-04,0.0051,0.0011,0.008,-0.007,0.00011
-1e-04,0.0022,0.0014,0.01,0.01,-1e-04
2e-04,-0.0034,0.0016,0.013,0.008,-0.00013
-1e-04,0.0039,2e-04,0.008,0.01,1e-05
1e-04,-0.0059,8e-04,0.011,0.006,-0.00016
1e-04,-0.0053,4e-04,0.01,-0.01,7e-05
-2e-04,0.0059,0.0021,0.003,0.003,1e-05
3e-04,-0.0078,0.002,0.01,0.002,-0.00022
-1e-04,0.0065,2e-04,0.004,-0.014,0.00018
-3e-04,0.0084,0.0023,0.004,0.002,4e-05
1e-04,0.0042,0.0028,0.009,0.017,-0.00028
1e-04,-0.0046,0.0026,0.018,0.015,-0.00016
1e-04,-0.0022,0.002,0.001,-0.01,-2e-05
-2e-04,0.004,0.0013,0.004,-0.007,0.00011
1e-04,-0.0031,0.0012,0.016,-0.01,0
-3e-04,0.0048,-9e-04,0.01,-0.007,0.00018
2e-04,-0.0059,8e-04,0.009,-0.014,-3e-05
-1e-04,0.0045,3e-04,0.005,-0.024,0.00022
-1e-04,0.0077,5e-04,0.003,-0.007,4e-05
-2e-04,0.0056,0.0018,0.005,0.011,-0.00012
-3e-04,0.0055,1e-04,0.01,0.013,9e-05
-1e-04,-3e-04,5e-04,0.012,0.027,-0.00013
-1e-04,0.0033,2e-04,0.006,0.028,1e-05
2e-04,-0.0051,7e-04,0.006,-0.01,7e-05
-2e-04,0.009,0.0012,0.004,0.004,0.00014
1e-04,-0.0042,0.0028,0.018,0.024,-0.00019
-1e-04,0.0039,-7e-04,0.009,0.007,0.00013
1e-04,-0.0051,7e-04,0.008,-0.01,7e-05
-2e-04,0.0055,0.0025,0.005,-0.002,3e-05
-1e-04,2e-04,0.0019,0.01,0.01,-0.00016
3e-04,-0.0045,0.0021,0.013,0.005,-0.00018
-2e-04,0.004,4e-04,0.01,-0.008,0.00017
-1e-04,0.0039,7e-04,0.01,0.011,-4e-05
2e-04,-0.0047,9e-04,0.011,0.008,-0.00011
1e-04,-7e-04,6e-04,0.01,-0.01,1e-04
-2e-04,0.0031,-5e-04,0.006,-0.007,0.00014
1e-04,-0.003,0.001,0.006,-0.012,0
-1e-04,0.0068,6e-04,0.004,0.004,7e-05
2e-04,-0.0071,4e-04,0.012,0.001,-7e-05
1e-04,-0.0052,6e-04,0.011,-0.013,0.00018
-1e-04,0.0065,5e-04,0.009,-0.008,0.00016
-1e-04,0.008,0.0029,0.011,0.005,3e-05
2e-04,-0.0077,0,0.015,0.007,-8e-05
6e-04,-0.0112,4e-04,0.02,-0.009,-0.00011
-1e-04,0.0065,0.0011,0.013,-0.006,0
-3e-04,0.0045,4e-04,0.012,0.01,-9e-05
5e-04,-0.0048,3e-04,0.016,0.011,-0.00028
-2e-04,0.0043,-5e-04,0.013,-0.003,3e-05
1e-04,-0.0037,0.0016,0.015,0,-0.00011
2e-04,-0.0036,0.0016,0.016,-0.01,3e-05
-2e-04,0.0051,0.0018,0.01,-0.005,1e-04
