Sa,RollRate,PitchRate,currPitch,currRoll,diffRollRate
-0.0001,0.0036,-0.0009,0.005,-0.011000000000000001,0.0002
-0.0002,0.0037,0.0007,0.01,0.027999999999999997,-0.00016
-0.0002,0.0053,0.0009,0.008,-0.001,0.00011
-0.0004,0.0055,0.0054,0.006999999999999999,-0.038,0.0007099999999999999
-0.0001,0.0043,0.0016,0.019,0.016,-0.00025
0.0001,-0.0038,0.0023,0.009000000000000001,0.001,-0.00028
-0.0002,0.0085,0.0031,0.022000000000000002,0.03,-0.00016999999999999999
0.0001,-0.0033,0.0006,0.016,0.012,-8e-05
-0.0001,0.0048,0.0032,0.015,-0.023,0.00022999999999999998
-0.0002,0.0054,0.0014,0.021,-0.005,0.00014
-0.0001,0.0062,-0.0009,0.009000000000000001,0.01,2e-05
0.0001,-0.0035,-0.0002,0.003,-0.011000000000000001,0.00013000000000000002
0.0003,-0.0061,0.0,0.013000000000000001,0.005,-0.00016
0.0001,-0.0037,0.0014,0.011000000000000001,-0.034,0.00037
0.0002,-0.0045,0.0014,0.01,-0.048,0.00023999999999999998
0.0008,-0.0066,0.0063,0.019,-0.012,-0.00013000000000000002
0.0001,-0.0047,0.0008,0.015,0.006999999999999999,-0.00028
0.0003,-0.0078,-0.0001,0.015,0.023,-0.00035
-0.0013,0.0065,-0.0055,0.034,-0.003,0.00036
-0.0001,0.0049,0.0042,0.01,-0.001,2e-05
-0.0001,0.0059,0.0051,0.001,0.037000000000000005,-0.00015
-0.0001,0.0067,0.0013,0.006999999999999999,-0.006999999999999999,8e-05
-0.0001,0.0048,0.0026,0.011000000000000001,-0.006,9e-05
0.0001,-0.0036,0.0003,0.01,-0.045,0.0003
0.0002,-0.0059,0.0057,0.005,0.005,-0.00015
-0.0005,0.0087,0.0041,0.011000000000000001,-0.005,0.00018999999999999998
0.0001,-0.004,0.0006,0.019,0.012,-0.00011999999999999999
-0.0002,0.0014,0.0002,0.003,0.009000000000000001,-2e-05
