"fuel.consumption.country","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","Attribute10","Attribute11","Attribute12","Attribute13","Attribute14","Attribute15","Attribute16","Attribute17","Attribute18","Attribute19","Attribute20","Attribute21","Attribute22","Attribute23","Attribute24","Attribute25","Attribute26","Attribute27","Attribute28","Attribute29","Attribute30","Attribute31","Attribute32","Attribute33","Attribute34","Attribute35","Attribute36","Attribute37"
2.7,"nominal1","nominal8","nominal9",3,"nominal12",1191,45,20,4000,875,5000,9999,14.77,9999,10.5,14.5,830,360,18.4,"nominal15","nominal21",1,"nominal29","nominal34","nominal39","nominal45",3529,1621,1455,2319,165,140,0.563,47.7,2.1,"nominal51","nominal57"
3.2,"nominal2","nominal8","nominal9",3,"nominal12",799,30,19,4200,825,4500,4500,15.73,7.8,13.2,19.8,730,260,24.3,"nominal15","nominal18",1,"nominal29","nominal34","nominal38","nominal43",2500,1516,1551,1812,135,100,0.728,43.7,2.4,"nominal51","nominal57"
3.2,"nominal2","nominal8","nominal9",3,"nominal12",799,30,19,4200,825,4500,4500,15.73,7.8,13.2,19.8,730,260,24.3,"nominal15","nominal18",1,"nominal29","nominal34","nominal38","nominal43",2500,1516,1551,1812,135,100,0.728,43.7,2.4,"nominal51","nominal57"
3.5,"nominal1","nominal8","nominal9",3,"nominal12",1422,55,20,4000,680,9999,9999,17.23,9999,9999,12.3,990,510,18,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal45",3826,1673,1553,2405,173,195,0.605,9999,2.576,"nominal51","nominal57"
3.5,"nominal1","nominal8","nominal9",4,"nominal12",1686,55,18,4400,800,9999,9999,12.3,9999,9999,15,1169,526,21.3,"nominal15","nominal21",2,"nominal29","nominal34","nominal38","nominal46",4110,1709,1425,2606,175,165,0.577,49,2.379,"nominal51","nominal57"
3.5,"nominal1","nominal8","nominal9",4,"nominal12",1686,55,18,4400,800,9999,9999,12.3,9999,9999,15,1189,526,21.6,"nominal15","nominal21",2,"nominal29","nominal34","nominal38","nominal46",4110,1709,1425,2606,175,165,0.577,49,2.379,"nominal51","nominal57"
3.6,"nominal1","nominal8","nominal9",3,"nominal12",1422,55,20,4000,950,4800,9999,17.23,9999,9999,12.2,960,450,17.5,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal45",3536,1639,1460,2323,170,195,0.659,45.3,2.264,"nominal51","nominal57"
3.6,"nominal1","nominal8","nominal9",4,"nominal12",1716,44,20,4200,9999,9999,9999,8.42,9999,10.8,16.8,963,437,21.9,"nominal15","nominal21",1,"nominal28","nominal34","nominal39","nominal44",3536,1639,1460,2323,157,115,0.659,41.4,2.466,"nominal51","nominal57"
3.9,"nominal1","nominal8","nominal9",4,"nominal12",1689,44,19,3600,760,4850,4650,11.9,6.8,11.8,18,1070,460,24.3,"nominal15","nominal19",2,"nominal29","nominal34","nominal38","nominal43",3575,1719,1584,2423,152,160,0.69,51.7,2.123,"nominal50","nominal55"
4,"nominal1","nominal8","nominal9",4,"nominal12",1896,81,20,4150,860,5000,9999,15.58,9999,7.2,10.5,1190,560,14.7,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal44",4152,1735,1427,2513,194,235,0.639,44.5,2.66,"nominal51","nominal57"
4,"nominal1","nominal8","nominal9",4,"nominal12",1686,55,18,4400,800,9999,9999,12.3,9999,9999,15,1169,526,21.3,"nominal15","nominal21",2,"nominal29","nominal34","nominal38","nominal46",4110,1709,1425,2606,170,165,0.609,41.8,2.698,"nominal51","nominal57"
4,"nominal1","nominal8","nominal9",4,"nominal12",1686,55,18,4400,800,9999,9999,12.3,9999,9999,15,1189,526,21.6,"nominal15","nominal21",2,"nominal29","nominal34","nominal38","nominal46",4252,1709,1425,2606,170,165,0.589,41.8,2.698,"nominal51","nominal57"
4,"nominal1","nominal8","nominal9",4,"nominal12",1686,55,18,4400,800,9999,9999,12.3,9999,9999,15,1189,526,21.6,"nominal15","nominal21",2,"nominal29","nominal34","nominal38","nominal46",4110,1709,1425,2606,170,165,0.609,41.8,2.698,"nominal51","nominal57"
4,"nominal1","nominal8","nominal9",4,"nominal12",1896,50,20,4200,9999,9999,9999,8.82,9999,9999,16,1070,460,21.4,"nominal15","nominal21",1,"nominal28","nominal34","nominal39","nominal47",3876,1640,1422,2443,161,133,9999,38.6,2.732,"nominal51","nominal57"
4,"nominal1","nominal8","nominal9",4,"nominal12",1896,81,20,4000,9999,9999,9999,15.58,9999,9999,10.5,1125,460,13.9,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal44",3876,1640,1422,2443,193,235,9999,45.6,2.4,"nominal51","nominal57"
4,"nominal1","nominal8","nominal9",4,"nominal12",1896,47,20,4000,9999,9999,9999,8.28,9999,9999,18.7,1123,485,23.9,"nominal15","nominal21",1,"nominal28","nominal34","nominal39","nominal44",3960,1646,1451,2462,152,125,0.643,43.1,2.492,"missing_value","nominal57"
4,"nominal1","nominal8","nominal9",4,"nominal12",1896,74,19,4000,9999,9999,9999,15.91,9999,9999,11.5,1154,495,15.6,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal45",3960,1646,1451,2462,183,240,0.643,47.9,2.212,"nominal51","nominal57"
4,"nominal1","nominal8","nominal9",4,"nominal12",1910,59,18,3000,9999,9999,9999,12.9,9999,9999,12.2,1040,510,17.6,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal43",3800,1660,1480,2460,170,196,9999,48.5,2.186,"nominal51","nominal57"
4,"nominal1","nominal8","nominal9",4,"nominal12",1910,59,18,3000,9999,9999,9999,12.9,9999,9999,12.2,1055,510,17.9,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal43",3835,1660,1480,2460,170,196,9999,48.5,2.186,"nominal51","nominal57"
4,"nominal1","nominal8","nominal9",4,"nominal12",1753,55,19,4000,9999,9999,9999,12.54,9999,9999,12.5,1242,513,22.6,"nominal15","nominal22",1,"nominal29","nominal34","nominal38","nominal48",4438,1702,1465,2615,184,175,0.675,45.4,2.399,"nominal51","nominal57"
4,"nominal1","nominal8","nominal9",4,"nominal12",1896,81,20,4150,860,5000,9999,15.58,9999,7.9,11.3,1336,524,16.5,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal44",4409,1735,1485,2515,193,235,0.678,45.1,2.576,"nominal51","nominal57"
4.1,"nominal1","nominal8","nominal9",4,"nominal12",1896,66,20,3750,900,5000,9999,13.92,9999,8.4,12.4,1185,560,18,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal47",4152,1735,1427,2513,181,210,0.639,45.3,2.562,"nominal51","nominal57"
