fuel.consumption.country,Attribute4,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute22,Attribute27,Attribute28,Attribute29,Attribute30,Attribute31,Attribute32,Attribute33,Attribute34,Attribute35,Attribute1_nominal1,Attribute1_nominal2,Attribute1_nominal3,Attribute1_nominal5,Attribute1_nominal6,Attribute2_nominal7,Attribute2_nominal8,Attribute3_nominal10,Attribute3_nominal11,Attribute3_nominal9,Attribute5_nominal12,Attribute5_nominal13,Attribute5_nominal14,Attribute20_nominal15,Attribute20_nominal16,Attribute20_nominal17,Attribute21_nominal18,Attribute21_nominal19,Attribute21_nominal20,Attribute21_nominal21,Attribute21_nominal22,Attribute21_nominal23,Attribute21_nominal24,Attribute21_nominal25,Attribute21_nominal26,Attribute21_nominal27,Attribute23_missing_value,Attribute23_nominal28,Attribute23_nominal29,Attribute23_nominal30,Attribute23_nominal31,Attribute24_missing_value,Attribute24_nominal33,Attribute24_nominal34,Attribute24_nominal35,Attribute24_nominal36,Attribute24_nominal37,Attribute25_missing_value,Attribute25_nominal38,Attribute25_nominal39,Attribute25_nominal40,Attribute25_nominal41,Attribute26_missing_value,Attribute26_nominal42,Attribute26_nominal43,Attribute26_nominal44,Attribute26_nominal45,Attribute26_nominal46,Attribute26_nominal47,Attribute26_nominal48,Attribute26_nominal49,Attribute36_missing_value,Attribute36_nominal50,Attribute36_nominal51,Attribute36_nominal52,Attribute36_nominal53,Attribute37_missing_value,Attribute37_nominal54,Attribute37_nominal55,Attribute37_nominal56,Attribute37_nominal57,Attribute37_nominal58,Attribute37_nominal59
5.9,4,1598,55,9,5000,9999,9999,9999,10.22,9999.0,9999.0,12.9,1075,570,19.5,1,4400,1698,1419,2575,175,130,0.617,32.6,3.233,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6.1,4,1598,79,10,5750,9999,9999,9999,11.64,9999.0,9999.0,13.8,1280,560,16.2,2,4169,1698,1675,2580,180,148,9999.0,9999.0,9999.0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7.6,5,2324,110,10,6000,700,6600,9999,11.08,9999.0,7.9,10.9,1441,559,13.1,2,4669,1740,1496,2703,211,205,0.645,47.5,2.443,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7.5,4,1396,66,9,6400,750,9999,9999,10.8,9999.0,9999.0,14.4,1085,465,16.4,1,4325,1695,1390,2620,175,120,9999.0,31.7,3.364,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6.9,6,2494,125,11,5500,720,9999,6500,12.34,9999.0,5.6,8.0,1370,500,11.0,2,4471,1739,1415,2725,231,245,0.597,37.8,3.1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5.8,4,1795,107,11,6750,9999,9999,9999,12.18,9999.0,9999.0,7.8,1015,505,9.5,2,3990,1688,1419,2500,205,174,9999.0,33.6,3.213,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13.1,6,3199,165,10,5600,575,6000,6000,12.37,9999.0,9999.0,10.9,2180,630,13.2,2,4212,1760,1931,2400,173,315,1.44,34.1,4.31,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
4.7,3,973,40,10,5600,900,9999,9999,10.59,9999.0,9999.0,18.0,895,495,22.4,2,3741,1608,1424,2443,150,82,0.639,36.2,2.842,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
4.6,3,989,41,10,5200,9999,9999,9999,11.18,9999.0,9999.0,12.8,720,480,17.6,2,3410,1475,1420,2345,140,88,9999.0,32.1,3.29,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
9.6,8,4172,220,11,6200,9999,7200,9999,12.05,9999.0,5.1,7.1,1815,540,8.3,4,4833,1850,1475,2759,250,400,0.748,53.6,2.193,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7.1,6,2771,142,11,6000,9999,6600,9999,12.7,9999.0,5.8,8.3,1560,580,11.0,4,4796,1810,1479,2760,228,280,0.679,11.4,1.125,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6.7,4,1781,92,10,6000,800,6800,9999,11.99,9999.0,7.9,11.3,1185,560,12.9,2,4152,1735,1427,2513,197,170,0.639,32.8,3.5380000000000003,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7.1,4,1948,102,11,6000,9999,9999,9999,11.74,9999.0,9999.0,9.8,1310,620,12.8,2,4508,1752,1442,2670,210,182,0.6659999999999999,32.0,3.628,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5.8,4,1242,55,10,5200,9999,7500,9999,11.13,9999.0,9999.0,12.7,914,506,16.6,2,3828,1634,1334,2446,170,110,0.662,32.0,3.213,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
7.8,4,2351,110,12,5500,9999,9999,9999,12.03,9999.0,9999.0,12.9,1440,480,13.1,2,4290,1695,1680,2550,180,225,0.9159999999999999,38.2,3.97,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
5.7,4,1390,70,9999,6000,9999,9999,9999,11.48,9999.0,9999.0,12.9,1235,560,17.6,2,4169,1698,1675,2580,173,127,9999.0,9999.0,9999.0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7.0,4,1781,66,10,5500,875,9999,9999,10.23,9999.0,9.8,15.0,1185,395,18.0,1,4081,1695,1425,2472,171,145,0.6509999999999999,31.5,3.361,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4.9,4,1390,44,11,4700,700,9999,9999,10.49,9999.0,9.1,14.1,895,465,20.3,1,3536,1639,1460,2323,160,116,0.659,35.0,2.8680000000000003,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
8.9,6,2946,140,11,5750,650,9999,9999,11.39,9999.0,9999.0,10.6,1720,790,12.3,4,4787,1810,1690,2874,206,267,9999.0,48.5,2.496,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6.2,4,1590,67,10,6000,9999,9999,9999,9.96,9999.0,9999.0,11.7,990,495,14.8,1,4100,1640,1600,2395,165,126,9999.0,35.4,3.16,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5.6,4,1997,80,18,4000,9999,9999,9999,15.73,9999.0,9999.0,12.7,1690,695,21.1,1,4454,1834,1714,2824,175,250,0.915,43.5,2.718,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
7.1,4,2392,104,10,5800,9999,9999,9999,10.45,9999.0,9999.0,10.6,1405,450,13.5,2,4742,1780,1399,2718,200,199,9999.0,50.2,2.326,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10.1,6,2792,128,10,5800,700,9999,9999,10.58,9999.0,9.4,13.8,1825,675,14.3,2,4620,1810,1762,2846,193,235,0.831,33.7,3.3989999999999996,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6.3,4,1799,85,11,5400,850,9999,9999,11.87,9999.0,9999.0,12.5,1288,542,15.2,2,4495,1707,1425,2637,198,170,0.557,37.2,3.28,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
6.6,4,2088,80,22,4300,675,5150,9999,15.05,9999.0,9999.0,16.7,1557,633,19.5,1,4963,1794,1464,2850,180,250,0.741,41.3,2.8680000000000003,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
13.7,8,4966,218,10,5500,650,6000,6000,11.54,9999.0,9999.0,9.7,2365,445,10.8,2,4212,1760,1931,2400,190,456,1.44,9999.0,3.635,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
12.4,6,3199,162,10,5500,700,9999,9999,12.18,9999.0,9999.0,9999.0,2005,515,12.4,2,4656,1864,1755,2630,190,310,0.9790000000000001,36.3,3.7,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
8.2,6,2946,140,11,5500,650,6800,9999,11.39,9999.0,9999.0,8.4,1416,584,10.1,4,4712,1755,1420,2740,227,267,0.6829999999999999,38.0,3.17,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7.8,4,1994,92,10,5600,700,9999,9999,11.6,9999.0,9999.0,12.2,1430,465,15.5,2,4680,1695,1515,2650,180,184,9999.0,39.5,2.852,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7.0,6,2393,121,11,6000,720,6800,9999,12.08,9999.0,6.1,8.6,1360,550,11.2,4,4479,1733,1416,2617,222,230,0.65,37.8,3.68,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6.9,4,1781,92,10,6000,800,9999,9999,11.99,9999.0,9999.0,12.7,1264,521,13.7,2,4439,1742,1436,2513,197,170,0.654,32.8,3.5380000000000003,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
8.0,6,2946,140,11,5500,650,6800,9999,11.39,9999.0,9999.0,8.9,1615,605,11.5,4,4963,1794,1464,2850,228,267,0.741,37.4,3.64,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5.3,4,1896,85,18,4000,900,5000,9999,20.55,9999.0,9999.0,11.9,1330,550,15.6,1,4479,1733,1416,2617,196,310,0.65,50.6,2.294,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
7.6,5,2435,121,11,6000,750,9999,9999,10.89,9999.0,9999.0,9.1,1495,585,12.4,2,4768,1816,1435,2765,220,211,0.639,48.4,2.41,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4.6,4,1995,74,19,4300,800,9999,9999,14.49,9999.0,9999.0,12.0,1320,445,17.8,1,4252,1709,1425,2606,188,230,0.589,46.4,2.55,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4.4,4,1896,85,18,4000,900,5000,9999,18.89,9999.0,7.5,11.1,1361,519,16.0,1,4409,1735,1485,2515,195,285,0.6779999999999999,55.1,2.18,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
6.5,4,1991,100,10,5800,9999,9999,9999,11.23,9999.0,9999.0,9.6,1215,495,12.2,2,4590,1710,1430,2610,208,178,0.6579999999999999,36.4,3.99,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
7.1,4,1988,96,10,5500,9999,9999,9999,11.25,9999.0,9999.0,9.6,1197,518,12.5,2,4438,1702,1484,2615,201,178,0.645,36.2,3.114,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
