class,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX
285,27,8000,32000,88,17,32
262,31,8000,32000,41,8,29
239,57,4003,24568,63,12,15
232,57,4011,23962,64,11,16
259,75,1971,15922,127,1,37
259,75,1953,16132,128,1,38
311,34,8000,32000,61,8,24
323,28,8000,32000,39,9,32
266,49,1647,9156,129,6,30
271,24,1303,2593,130,11,24
305,49,1961,32129,111,51,104
307,49,1991,31977,112,51,104
291,26,8000,32000,57,8,32
356,26,8000,32000,98,16,32
346,37,8000,32000,64,8,24
262,30,8000,32000,35,8,31
369,25,1331,2704,131,11,24
304,47,1619,8616,129,7,30
386,29,8000,32000,101,17,28
386,26,8000,32000,121,22,31
358,48,4657,32000,104,44,90
353,44,4968,32000,100,41,86
361,30,8000,32000,105,18,29
285,28,8000,32000,38,9,32
697,26,16000,32000,64,14,24
465,26,16077,31863,64,8,24
464,25,15965,31710,64,16,23
697,26,16000,32000,64,9,24
491,23,16044,32087,63,16,32
488,23,16019,31926,63,16,31
634,23,15963,64183,63,15,31
750,26,12475,64000,78,14,95
911,30,8017,63992,96,12,175
1019,30,8000,64000,121,12,176
1152,30,8042,64157,128,12,175
1151,30,7984,64197,127,12,176
294,29,8000,32000,32,8,31
462,25,15945,31799,64,15,23
356,26,8000,32000,65,8,32
1149,29,8071,64013,128,12,175
635,22,16007,64064,63,16,31
310,50,2020,31761,111,52,103
234,56,4087,23683,63,11,17
919,30,7997,63726,95,12,176
58,105,2000,8000,16,4,14
6,240,512,1000,8,1,3
269,29,8000,32000,32,8,32
113,59,4000,12000,32,6,12
33,105,2000,6000,16,6,16
370,35,8000,32000,64,8,24
40,140,2000,4000,0,4,8
12,84,1000,2000,0,1,6
40,225,2000,4000,8,3,6
11,900,512,1000,0,1,2
40,115,2000,4000,2,1,5
105,72,2000,8000,16,6,8
12,180,262,4000,0,1,3
140,38,8000,24000,160,4,8
26,100,1000,8000,24,2,6
44,300,768,3000,6,6,24
18,900,1000,4000,4,1,2
60,160,1000,8000,16,1,14
32,400,4000,8000,0,1,1
636,23,16000,64000,64,16,32
62,75,2000,8000,8,3,24
74,60,2000,16000,64,5,8
17,90,256,1000,0,3,10
21,56,2000,6000,0,1,8
465,26,16000,32000,64,8,24
23,320,128,6000,0,1,12
77,320,512,5000,4,1,5
237,57,4000,24000,64,12,16
12,800,256,8000,0,1,4
17,56,1000,4000,0,1,6
326,38,8000,32000,64,8,24
21,180,512,4000,0,1,3
106,56,5240,20970,30,12,24
41,200,2000,8000,64,1,5
76,110,3100,6200,0,6,64
397,50,4000,32000,112,52,104
368,25,1310,2620,131,12,24
66,25,2000,12000,16,3,5
489,23,16000,32000,64,16,32
65,50,2000,16000,24,6,16
198,125,256,6000,256,16,128
22,140,2000,4000,8,1,20
25,200,1000,2000,0,1,2
208,50,2000,32000,48,26,52
62,200,512,8000,8,1,8
1150,30,8000,64000,128,12,176
26,105,256,2000,0,3,10
465,26,16000,32000,64,16,24
42,124,1000,8000,0,1,8
220,29,8000,32000,32,8,32
259,75,2000,16000,128,1,38
25,250,512,4000,0,1,7
274,25,1310,2620,131,12,24
30,143,1500,6300,0,5,32
32,100,1000,8000,24,3,6
80,50,2000,16000,24,1,6
915,30,8000,64000,96,12,176
132,29,8000,16000,32,8,16
318,26,8000,32000,64,8,32
26,50,1000,4000,8,3,5
405,26,8000,32000,128,24,32
32,105,1000,4000,0,3,24
18,810,512,512,8,1,1
307,50,2000,32000,112,52,104
