class,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX
202,125,302,6238,256,15,127
327,113,649,8255,227,12,107
209,49,2064,32077,48,26,51
247,50,2000,32000,72,35,71
285,26,8000,32000,114,21,32
242,29,8000,32000,32,8,32
236,56,3992,23895,63,11,15
239,57,3969,24078,63,12,15
247,57,3970,23881,64,11,16
262,75,2006,15926,127,1,38
294,33,8000,32000,46,8,28
294,30,8000,32000,38,8,30
273,24,1262,2552,131,11,24
277,24,1347,2694,130,11,22
310,50,2047,32124,112,52,103
306,49,2026,31852,113,51,102
321,28,8000,32000,64,8,30
342,26,8000,32000,64,8,31
361,28,8000,32000,116,21,30
361,27,8000,32000,121,22,31
369,24,1319,2804,131,12,24
369,24,1278,2524,130,12,23
346,36,8000,32000,64,8,24
311,32,8000,32000,50,8,27
400,34,6501,32000,122,34,58
346,50,2229,32000,112,52,104
386,34,8000,32000,65,8,24
323,28,8000,32000,44,10,32
468,25,15973,32096,62,7,23
462,25,15893,31746,63,8,23
465,25,16094,32179,63,15,23
476,23,16000,32000,64,16,31
486,22,15979,31771,64,15,32
490,22,15994,32025,64,15,32
634,22,16009,63936,64,16,32
638,23,15893,63782,62,16,31
916,30,7994,64259,96,11,175
915,29,8014,63971,95,12,175
819,26,11890,64000,96,13,105
1152,29,8130,64068,128,11,175
912,29,7874,63955,95,12,175
291,27,8000,32000,44,8,32
8,112,1000,1000,0,1,4
16,330,1000,3000,0,2,4
18,1500,768,2000,0,0,0
269,29,8000,32000,32,8,32
33,105,2000,6000,16,6,16
370,35,8000,32000,64,8,24
12,84,1000,2000,0,1,6
11,900,512,1000,0,1,2
46,98,1000,8000,32,2,8
105,72,2000,8000,16,6,8
12,180,262,4000,0,1,3
64,75,3000,8000,8,3,48
32,160,512,2000,2,3,8
26,100,1000,8000,24,2,6
86,60,4000,16000,32,1,6
27,50,2000,4000,0,3,6
36,300,192,768,6,6,24
636,23,16000,64000,64,16,32
34,56,4000,8000,0,1,8
70,50,2000,16000,24,1,6
133,17,4000,16000,32,6,12
21,56,2000,6000,0,1,8
465,26,16000,32000,64,8,24
23,320,128,6000,0,1,12
34,225,2000,4000,8,3,6
77,320,512,5000,4,1,5
237,57,4000,24000,64,12,16
18,180,262,4000,0,1,3
36,200,1000,8000,0,1,2
60,92,2000,8000,32,1,6
326,38,8000,32000,64,8,24
41,200,2000,8000,64,1,5
45,50,2000,8000,8,3,6
397,50,4000,32000,112,52,104
46,56,4000,16000,0,1,8
368,25,1310,2620,131,12,24
66,25,2000,12000,16,3,5
489,23,16000,32000,64,16,32
65,50,2000,16000,24,6,16
198,125,256,6000,256,16,128
16,800,256,8000,0,1,4
22,140,2000,4000,8,1,20
208,50,2000,32000,48,26,52
1150,30,8000,64000,128,12,176
465,26,16000,32000,64,16,24
220,29,8000,32000,32,8,32
67,480,512,8000,32,0,0
45,480,1000,4000,0,0,0
259,75,2000,16000,128,1,38
36,50,1000,8000,8,3,5
16,330,1000,2000,0,1,2
52,50,2000,16000,8,3,6
274,25,1310,2620,131,12,24
80,50,2000,16000,24,1,6
915,30,8000,64000,96,12,176
132,29,8000,16000,32,8,16
318,26,8000,32000,64,8,32
26,50,1000,4000,8,3,5
405,26,8000,32000,128,24,32
16,600,768,2000,0,1,1
32,105,1000,4000,0,3,24
18,810,512,512,8,1,1
307,50,2000,32000,112,52,104
