class,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX
58,105,2000,8000,16,4,14
8,112,1000,1000,0,1,4
16,100,1000,8000,0,2,6
16,330,1000,3000,0,2,4
18,1500,768,2000,0,0,0
6,240,512,1000,8,1,3
269,29,8000,32000,32,8,32
7,1100,512,1500,0,1,1
113,59,4000,12000,32,6,12
24,56,2000,8000,0,1,8
33,105,2000,6000,16,6,16
370,35,8000,32000,64,8,24
114,50,2000,32000,24,6,26
22,900,1000,4000,8,1,2
66,180,2000,16000,16,1,6
40,140,2000,4000,0,4,8
24,700,384,8000,0,1,1
12,84,1000,2000,0,1,6
40,225,2000,4000,8,3,6
11,900,512,1000,0,1,2
40,115,2000,4000,2,1,5
46,98,1000,8000,32,2,8
50,115,2000,8000,16,1,3
105,72,2000,8000,16,6,8
12,180,262,4000,0,1,3
64,75,3000,8000,8,3,48
37,900,2000,4000,0,3,6
140,38,8000,24000,160,4,8
32,160,512,2000,2,3,8
26,100,1000,8000,24,2,6
86,60,4000,16000,32,1,6
38,160,1000,4000,8,1,14
44,300,768,3000,6,6,24
18,900,1000,4000,4,1,2
27,50,2000,4000,0,3,6
36,300,192,768,6,6,24
60,160,1000,8000,16,1,14
32,400,4000,8000,0,1,1
636,23,16000,64000,64,16,32
32,400,2000,4000,0,1,1
62,75,2000,8000,8,3,24
74,60,2000,16000,64,5,8
34,56,4000,8000,0,1,8
17,90,256,1000,0,3,10
116,38,4000,8000,32,16,32
70,50,2000,16000,24,1,6
133,17,4000,16000,32,6,12
21,56,2000,6000,0,1,8
465,26,16000,32000,64,8,24
23,320,128,6000,0,1,12
34,225,2000,4000,8,3,6
77,320,512,5000,4,1,5
237,57,4000,24000,64,12,16
18,180,262,4000,0,1,3
138,140,1000,16000,16,1,3
12,800,256,8000,0,1,4
17,56,1000,4000,0,1,6
120,110,5000,5000,142,8,64
36,200,1000,8000,0,1,2
60,92,2000,8000,32,1,6
326,38,8000,32000,64,8,24
21,180,512,4000,0,1,3
72,133,1000,12000,9,3,12
106,56,5240,20970,30,12,24
41,200,2000,8000,64,1,5
45,50,2000,8000,8,3,6
30,160,512,4000,2,1,5
76,110,3100,6200,0,6,64
397,50,4000,32000,112,52,104
46,56,4000,16000,0,1,8
368,25,1310,2620,131,12,24
172,29,8000,32000,32,8,32
66,25,2000,12000,16,3,5
489,23,16000,32000,64,16,32
100,17,4000,16000,8,6,12
40,50,2000,16000,8,3,5
65,50,2000,16000,24,6,16
198,125,256,6000,256,16,128
16,800,256,8000,0,1,4
22,140,2000,4000,8,1,20
29,50,1000,4000,8,1,5
25,200,1000,2000,0,1,2
208,50,2000,32000,48,26,52
35,200,512,16000,0,4,32
62,200,512,8000,8,1,8
144,75,2000,16000,64,1,38
1150,30,8000,64000,128,12,176
26,105,256,2000,0,3,10
465,26,16000,32000,64,16,24
24,203,1000,2000,0,1,5
36,300,768,3000,0,6,24
109,160,2000,8000,32,1,13
173,26,8000,24000,32,8,16
42,124,1000,8000,0,1,8
220,29,8000,32000,32,8,32
67,480,512,8000,32,0,0
45,480,1000,4000,0,0,0
259,75,2000,16000,128,1,38
76,185,2000,16000,16,1,6
93,60,4000,16000,64,5,8
50,300,768,12000,6,6,24
36,50,1000,8000,8,3,5
16,330,1000,2000,0,1,2
24,700,256,2000,0,1,1
111,50,4000,16000,64,5,10
25,250,512,4000,0,1,7
52,50,2000,16000,8,3,6
274,25,1310,2620,131,12,24
143,72,4000,16000,64,8,16
30,143,1500,6300,0,5,32
33,320,256,6000,0,1,6
32,100,1000,8000,24,3,6
80,50,2000,16000,24,1,6
915,30,8000,64000,96,12,176
132,29,8000,16000,32,8,16
318,26,8000,32000,64,8,32
26,50,1000,4000,8,3,5
405,26,8000,32000,128,24,32
16,600,768,2000,0,1,1
32,105,1000,4000,0,3,24
18,810,512,512,8,1,1
50,250,512,4000,0,4,7
36,125,512,1000,0,8,20
307,50,2000,32000,112,52,104
60,50,2000,16000,8,3,6
