"maximal.torque","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","Attribute10","Attribute11","Attribute12","Attribute13","Attribute14","Attribute15","Attribute16","Attribute17","Attribute18","Attribute19","Attribute20","Attribute21","Attribute22","Attribute23","Attribute24","Attribute25","Attribute26","Attribute27","Attribute28","Attribute29","Attribute30","Attribute31","Attribute32"
69,"nominal1","nominal4","nominal10",3,"nominal12",796,38,9,5900,9999,9999,9999,10.89,1.51,"nominal21","nominal23","nominal29",2,9999,9999,9999,9999,9999,9999,20.4,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
69,"nominal1","nominal4","nominal10",3,"nominal12",796,38,9,5900,9999,9999,9999,10.89,1.51,"nominal21","nominal23","nominal29",2,9999,9999,9999,9999,9999,9999,20.4,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
70,"nominal1","nominal5","nominal10",3,"nominal12",599,33,10,5250,800,6000,6000,14.69,0.992,"nominal16","nominal23","nominal29",2,6,30,8.5,6,25,8.5,21.8,"nominal34","nominal37",1,"nominal48","nominal52","nominal58","nominal61"
76,"nominal1","nominal4","nominal10",3,"nominal12",993,39,10,5700,850,9999,9999,9.62,1.41,"nominal17","nominal23","nominal29",2,7,35,9999,7,28,9999,20.1,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
76,"nominal1","nominal4","nominal10",3,"nominal12",993,39,10,5700,850,9999,9999,9.62,1.41,"nominal17","nominal23","nominal29",2,7,35,9999,7,28,9999,20.1,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
82,"nominal1","nominal4","nominal10",3,"nominal12",973,40,10,5600,900,9999,9999,10.59,1.84,"nominal16","nominal23","nominal29",4,5,28,6.9,5,25,7.4,21.6,"nominal34","nominal37",2,"nominal47","nominal52","nominal58","nominal61"
82,"nominal1","nominal4","nominal10",3,"nominal12",973,40,10,5600,900,9999,9999,10.59,1.84,"nominal16","nominal23","nominal29",4,5,28,6.9,5,25,7.4,22.4,"nominal34","nominal37",2,"nominal47","nominal52","nominal58","nominal61"
88,"nominal1","nominal5","nominal10",3,"nominal12",599,40,10,5250,800,6000,6000,18.46,0.992,"nominal16","nominal23","nominal29",2,6,30,8.5,6,25,8.5,18,"nominal34","nominal37",1,"nominal48","nominal52","nominal58","nominal61"
88,"nominal1","nominal5","nominal10",3,"nominal12",599,40,10,5250,800,6000,6000,18.46,0.992,"nominal16","nominal23","nominal29",2,6,30,8.5,6,25,8.5,18,"nominal34","nominal37",1,"nominal48","nominal52","nominal58","nominal61"
88,"nominal1","nominal5","nominal10",3,"nominal12",599,40,10,5250,800,6000,6000,18.46,0.992,"nominal16","nominal23","nominal29",2,6,30,8.5,6,25,8.5,18.3,"nominal34","nominal37",1,"nominal48","nominal52","nominal58","nominal61"
88,"nominal1","nominal5","nominal10",3,"nominal12",599,40,10,5250,800,6000,6000,18.46,0.992,"nominal16","nominal23","nominal29",2,6,30,8.5,6,25,8.5,18.3,"nominal34","nominal37",1,"nominal48","nominal52","nominal58","nominal61"
88,"nominal1","nominal4","nominal10",3,"nominal12",989,41,10,5200,9999,9999,9999,11.18,1.125,"nominal17","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,19.8,"nominal34","nominal42",2,"nominal47","nominal52","nominal58","nominal61"
88,"nominal1","nominal4","nominal10",3,"nominal12",989,41,10,5200,9999,9999,9999,11.18,1.125,"nominal17","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,20,"nominal34","nominal42",2,"nominal47","nominal52","nominal58","nominal61"
88,"nominal1","nominal4","nominal10",3,"nominal12",989,41,10,5200,9999,9999,9999,11.18,1.125,"nominal17","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,20.4,"nominal34","nominal42",2,"nominal47","nominal52","nominal58","nominal61"
88,"nominal1","nominal4","nominal10",3,"nominal12",989,41,10,5200,9999,9999,9999,11.18,1.125,"nominal17","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,20.6,"nominal34","nominal42",2,"nominal47","nominal52","nominal58","nominal61"
88,"nominal1","nominal4","nominal10",3,"nominal12",989,41,10,5200,9999,9999,9999,11.18,1.125,"nominal17","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,17.6,"nominal34","nominal42",2,"nominal47","nominal52","nominal58","nominal61"
88,"nominal1","nominal4","nominal10",3,"nominal12",989,41,10,5200,9999,9999,9999,11.18,1.125,"nominal17","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,19.9,"nominal34","nominal42",2,"nominal47","nominal52","nominal58","nominal61"
88,"nominal1","nominal4","nominal10",3,"nominal12",989,41,10,5200,9999,9999,9999,11.18,1.125,"nominal17","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,20.1,"nominal34","nominal42",2,"nominal47","nominal52","nominal58","nominal61"
88,"nominal1","nominal6","nominal10",3,"nominal12",989,41,10,5200,9999,9999,9999,11.18,1.125,"nominal17","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,21,"nominal34","nominal42",2,"nominal47","nominal52","nominal58","nominal61"
88,"nominal1","nominal6","nominal10",3,"nominal12",989,41,10,5200,9999,9999,9999,11.18,1.125,"nominal17","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,21.2,"nominal34","nominal42",2,"nominal47","nominal52","nominal58","nominal61"
88,"nominal1","nominal6","nominal10",3,"nominal12",989,41,10,5200,9999,9999,9999,11.18,1.125,"nominal17","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,21,"nominal34","nominal42",2,"nominal47","nominal52","nominal58","nominal61"
88,"nominal1","nominal6","nominal10",3,"nominal12",989,41,10,5200,9999,9999,9999,11.18,1.125,"nominal17","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,21.2,"nominal34","nominal42",2,"nominal47","nominal52","nominal58","nominal61"
88,"nominal1","nominal4","nominal10",3,"nominal12",989,41,10,5200,9999,9999,9999,11.18,1.125,"nominal17","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,17.6,"nominal34","nominal42",2,"nominal47","nominal52","nominal58","nominal61"
88,"nominal1","nominal4","nominal10",3,"nominal12",989,41,10,5200,9999,9999,9999,11.18,1.125,"nominal17","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,17.8,"nominal34","nominal42",2,"nominal47","nominal52","nominal58","nominal61"
88,"nominal1","nominal4","nominal10",3,"nominal12",989,41,10,5200,9999,9999,9999,11.18,1.125,"nominal17","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,17.6,"nominal34","nominal42",2,"nominal47","nominal52","nominal58","nominal61"
88,"nominal1","nominal4","nominal10",3,"nominal12",989,41,10,5200,9999,9999,9999,11.18,1.125,"nominal17","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,17.8,"nominal34","nominal42",2,"nominal47","nominal52","nominal58","nominal61"
88,"nominal1","nominal4","nominal10",3,"nominal12",989,41,10,5200,9999,9999,9999,11.18,1.125,"nominal17","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,17.6,"nominal34","nominal42",2,"nominal47","nominal52","nominal58","nominal61"
100,"nominal1","nominal5","nominal11",3,"nominal12",799,30,19,4200,825,4500,4500,15.73,1.26,"nominal16","nominal23","nominal29",2,6,27.6,6.7,6,25.3,7,24.3,"nominal34","nominal37",1,"nominal48","nominal53","nominal57","nominal62"
100,"nominal1","nominal5","nominal11",3,"nominal12",799,30,19,4200,825,4500,4500,15.73,1.26,"nominal16","nominal23","nominal29",2,6,27.6,6.7,6,25.3,7,24.3,"nominal34","nominal37",1,"nominal48","nominal53","nominal57","nominal62"
113,"nominal1","nominal7","nominal10",3,"nominal12",995,56,11,5700,9999,9999,9999,14.27,1.132,"nominal15","nominal28","nominal29",4,9999,9999,9999,9999,9999,9999,15.2,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
140,"nominal1","nominal4","nominal11",3,"nominal12",1191,45,20,4000,875,5000,9999,14.77,1.129,"nominal17","missing_value","missing_value",2,7,36,9999,7,31.5,9999,18.4,"nominal34","nominal40",1,"nominal48","nominal53","nominal58","nominal64"
195,"nominal1","nominal4","nominal11",3,"nominal12",1422,55,20,4000,680,9999,9999,17.23,1.21,"nominal17","missing_value","missing_value",2,7,36,9999,7,31.5,9999,18,"nominal34","nominal40",1,"nominal48","nominal53","nominal57","nominal64"
195,"nominal1","nominal4","nominal11",3,"nominal12",1422,55,20,4000,950,4800,9999,17.23,1.21,"nominal17","missing_value","missing_value",2,7,36,9999,7,31.5,9999,17.5,"nominal34","nominal40",1,"nominal48","nominal53","nominal57","nominal64"
