maximal.torque,Attribute4,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23,Attribute24,Attribute25,Attribute28,Attribute1_nominal1,Attribute1_nominal2,Attribute1_nominal3,Attribute2_nominal4,Attribute2_nominal5,Attribute2_nominal6,Attribute2_nominal7,Attribute2_nominal8,Attribute2_nominal9,Attribute3_nominal10,Attribute3_nominal11,Attribute5_nominal12,Attribute5_nominal13,Attribute5_nominal14,Attribute15_missing_value,Attribute15_nominal15,Attribute15_nominal16,Attribute15_nominal17,Attribute15_nominal18,Attribute15_nominal19,Attribute15_nominal20,Attribute15_nominal21,Attribute15_nominal22,Attribute16_missing_value,Attribute16_nominal23,Attribute16_nominal24,Attribute16_nominal25,Attribute16_nominal26,Attribute16_nominal27,Attribute16_nominal28,Attribute17_missing_value,Attribute17_nominal29,Attribute17_nominal30,Attribute17_nominal31,Attribute17_nominal32,Attribute17_nominal33,Attribute26_nominal34,Attribute26_nominal35,Attribute26_nominal36,Attribute27_missing_value,Attribute27_nominal37,Attribute27_nominal38,Attribute27_nominal39,Attribute27_nominal40,Attribute27_nominal41,Attribute27_nominal42,Attribute27_nominal43,Attribute27_nominal44,Attribute27_nominal45,Attribute27_nominal46,Attribute29_missing_value,Attribute29_nominal47,Attribute29_nominal48,Attribute29_nominal49,Attribute29_nominal50,Attribute29_nominal51,Attribute30_missing_value,Attribute30_nominal52,Attribute30_nominal53,Attribute30_nominal54,Attribute30_nominal55,Attribute30_nominal56,Attribute31_missing_value,Attribute31_nominal57,Attribute31_nominal58,Attribute31_nominal59,Attribute31_nominal60,Attribute32_missing_value,Attribute32_nominal61,Attribute32_nominal62,Attribute32_nominal63,Attribute32_nominal64,Attribute32_nominal65,Attribute32_nominal66,Attribute32_nominal67,Attribute32_nominal68
384,5,2688,123,18,4200,680,4750,4600,17.592836556960854,1.5,4,6.0,30.2,7.9,7.0,28.4,7.9,14.153008289327913,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
555,5,2688,125,18,4200,680,4750,4600,17.3,1.5,4,6.0,30.2,7.9,7.0,28.4,7.9,12.730465468302533,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
384,5,2688,125,18,4200,680,4750,4600,17.52626936239512,1.5,4,6.0,30.2,7.9,7.0,28.4,7.9,13.432324194627874,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
384,5,2688,124,18,4200,680,4750,4600,17.416891236645032,1.5,4,6.0,30.2,7.9,7.0,28.4,7.9,13.70057746565865,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,12.884099627486862,4,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,13.356791746040917,4,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,12.644077592795435,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,12.362788591259674,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,12.762441601897903,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,12.3,4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,12.378150821187642,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,12.3,4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,13.426861974892562,4,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,12.369537387097354,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,12.343353870948222,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,12.409186074219377,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,12.50175674601851,4,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,13.272269436883684,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,13.356904017451807,4,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,12.58667018933675,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
370,6,3623,265,12,7192,695,7635,9981,12.829462434055943,0.7660998879129889,3,0.0,75.42419720895106,10043.935772351251,0.0,0.0,9965.49637592746,5.120262954748469,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
368,6,3605,265,12,7217,656,7605,9993,12.90518766885702,0.7624678576994816,4,0.0,0.0,9986.032295062498,48.96712367553231,113.8597360613823,9964.194298909913,5.0754678231884585,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
370,6,3606,264,12,7202,727,7620,9960,12.96974870531813,0.7626879804067039,3,0.0,79.00749020708147,10009.94591131547,28.074024350016266,34.15146688335969,9891.148503167336,5.107342831727085,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
421,6,3817,261,11,6931,687,7892,9510,12.740464475182621,0.7841519466631751,3,6.122133010079849,37.69845174939126,9999.0,6.122133010079849,32.927465535279474,9999.0,5.67402514737529,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,13.57174102327195,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,13.225448029150666,4,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,12.657863906932548,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,13.650204185082124,4,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,13.633437594844048,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,13.018814530240059,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,12.516340379735281,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
555,6,2496,132,19,4000,9999,9999,9999,18.63,1.13,4,9999.0,27.1,7.9,9999.0,24.1,9.0,12.693107317005559,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
384,5,2686,125,18,4200,680,4750,4600,18.100123781449497,1.3873065096550004,4,6.0,30.2,7.9,7.0,28.4,7.9,12.487306509655001,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
384,5,2685,125,18,4200,680,4750,4600,18.251628175167294,1.3659678626524938,4,6.0,30.2,7.9,7.0,28.4,7.9,12.465967862652494,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
384,5,2688,121,18,4200,680,4750,4600,18.419486686435146,1.5,4,6.0,30.2,7.9,7.0,28.4,7.9,16.118386728796178,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
555,5,2688,125,18,4200,680,4750,4600,17.3,1.5,4,6.0,30.2,7.9,7.0,28.4,7.9,12.951877903609997,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
403,6,3107,286,9,7245,9999,9999,9999,17.058172371702288,1.3163179197157793,5,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,5.274965872722479,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
