"class","motor","screw","pgain","vgain"
0.28125095,"E","E",5,4
0.5062525,"B","D",6,5
0.35625148,"D","D",4,3
5.500033,"B","A",3,2
0.35625148,"D","B",6,5
0.8062546,"E","C",4,3
5.100014,"C","A",3,2
5.7000422,"A","A",3,2
0.76875436,"C","A",6,5
1.0312537,"D","A",4,1
0.46875226,"B","E",6,5
0.39375174,"E","C",5,4
0.28125095,"B","C",4,1
1.1,"E","C",3,1
0.5062525,"C","C",5,4
1.8999897,"E","B",3,2
0.9000011,"D","C",3,1
0.46875226,"B","C",5,4
0.5437528,"B","B",5,4
0.20625044,"C","E",4,2
0.9187554,"E","D",4,3
1.1062483,"A","D",4,3
0.46875226,"B","C",6,5
0.58125305,"A","C",4,2
0.58125305,"A","B",6,5
0.39375174,"E","C",6,5
5.3000236,"A","A",3,1
0.46875226,"A","E",4,2
1.8999897,"C","D",3,2
4.299977,"B","B",3,2
0.35625148,"B","E",4,2
3.899964,"B","C",3,1
0.5437528,"C","E",4,1
0.5437528,"C","A",6,2
0.5062525,"C","C",6,5
1.1,"E","E",3,2
0.5000003,"D","E",3,1
0.13124992,"E","C",4,2
0.5437528,"C","B",6,5
0.20625044,"C","D",4,1
0.69375384,"D","B",4,1
0.88125515,"C","B",4,3
0.9187554,"C","C",4,3
0.2437507,"B","D",4,1
0.6562536,"B","A",5,3
1.0312537,"A","B",4,3
0.8062546,"B","A",4,1
0.431252,"E","D",4,2
4.0999675,"C","E",3,2
0.7000007,"D","D",3,1
0.431252,"D","A",6,5
4.499986,"C","B",3,2
4.6999955,"B","E",3,2
0.5062525,"C","D",5,4
0.7312541,"B","B",4,2
1.1437455,"A","E",4,3
0.88125515,"A","A",4,2
1.0312537,"B","D",4,3
6.9000983,"E","A",3,2
0.9562557,"B","C",4,3
0.58125305,"E","B",4,2
0.58125305,"E","A",5,4
0.431252,"E","B",5,4
0.5437528,"C","A",6,1
0.7312541,"D","A",4,3
0.5062525,"C","B",4,2
1.6999923,"D","B",3,2
1.2999974,"D","C",3,2
0.5437528,"C","A",5,2
0.39375174,"B","D",4,2
0.8062546,"B","A",6,5
0.28125095,"D","A",4,2
0.5437528,"C","B",5,4
0.5062525,"A","E",6,5
0.35625148,"A","C",4,1
0.5062525,"A","E",5,4
0.28125095,"E","C",4,1
4.499986,"B","B",3,1
4.6999955,"A","D",3,2
1.2999974,"E","D",3,2
7.1001077,"E","A",3,1
0.5062525,"A","C",6,5
0.46875226,"C","E",5,4
0.76875436,"C","A",5,4
0.58125305,"E","A",6,5
0.46875226,"B","E",5,4
0.8437549,"E","E",4,3
0.8437549,"B","A",4,2
0.5062525,"B","D",5,4
0.35625148,"C","C",4,2
0.69375384,"A","A",5,3
1.068751,"C","E",4,3
1.1062483,"A","A",4,3
0.5437528,"C","A",6,3
0.2437507,"A","E",4,1
0.5062525,"A","D",6,5
0.9000011,"E","D",3,1
0.431252,"C","B",4,1
4.0999675,"B","D",3,2
0.99375594,"B","B",4,3
0.5062525,"B","C",4,2
4.499986,"A","E",3,2
3.899964,"B","D",3,1
0.39375174,"D","B",5,4
0.2437507,"C","C",4,1
0.2437507,"C","D",4,2
1.1812428,"E","B",4,1
1.2999974,"D","B",3,1
0.431252,"E","B",6,5
2.499982,"D","A",3,1
0.5062525,"A","D",5,4
0.7312541,"C","A",4,1
0.46875226,"C","D",6,5
1.068751,"B","A",4,3
1.2187401,"E","A",4,3
0.8437549,"A","A",4,1
0.99375594,"A","C",4,3
0.31875122,"E","D",6,5
0.99375594,"E","A",4,2
1.4999949,"C","D",3,1
0.58125305,"B","B",4,1
0.76875436,"C","A",4,2
0.5437528,"C","A",5,1
1.2999974,"C","E",3,1
4.299977,"C","A",3,1
1.0312537,"C","A",4,3
1.8999897,"C","C",3,1
0.431252,"D","A",5,4
0.58125305,"A","B",5,4
4.299977,"C","C",3,2
0.31875122,"E","D",5,4
0.5437528,"D","C",4,3
0.28125095,"E","E",6,5
0.35625148,"D","B",4,2
0.46875226,"A","D",4,2
0.5437528,"B","B",6,5
0.6187533,"A","B",4,1
0.5062525,"A","C",5,4
0.20625044,"B","E",4,1
3.899964,"C","B",3,1
0.5062525,"E","E",4,2
1.1062483,"B","E",4,3
3.899964,"A","E",3,1
0.8062546,"A","B",4,2
3.899964,"A","C",3,1
1.4999949,"E","C",3,2
5.100014,"B","A",3,1
1.4999949,"D","D",3,2
4.6999955,"A","C",3,2
0.88125515,"E","A",4,1
0.8062546,"B","A",5,4
0.7000007,"E","E",3,1
0.9000011,"D","E",3,2
1.4999949,"E","B",3,1
0.2437507,"A","D",4,1
4.0999675,"A","D",3,1
0.99375594,"E","B",4,3
4.6999955,"A","B",3,1
0.58125305,"D","B",4,3
0.8062546,"A","A",5,4
2.6999795,"D","A",3,2
0.46875226,"C","E",6,5
4.499986,"B","C",3,2
3.6999667,"B","E",3,1
0.9562557,"C","D",4,3
4.499986,"A","B",3,2
0.8062546,"A","A",6,5
