class,pgain,vgain,motor_A,motor_B,motor_C,motor_D,motor_E,screw_A,screw_B,screw_C,screw_D,screw_E
2.700202743930034,3,2,0,0,0,0,0,1,0,0,0,0
3.8844083239756904,3,1,0,1,0,0,0,0,0,0,0,0
3.9248204972369596,3,1,0,0,0,0,0,0,0,1,0,0
3.8984363854195427,3,1,0,0,0,0,0,0,0,1,0,0
3.9050681238067497,3,1,1,0,0,0,0,0,0,0,0,0
3.901039204058262,3,0,0,0,1,0,0,0,0,0,0,0
4.094614895738384,3,1,0,0,0,0,0,0,0,0,0,0
4.091622163723003,3,2,0,0,1,0,0,0,0,0,0,0
4.2975033615407074,3,2,0,0,0,0,0,0,0,0,0,0
4.303914941846556,3,1,0,0,0,0,0,0,0,0,0,0
4.498150550935494,3,2,1,0,0,0,0,0,1,0,0,0
4.497578763500284,3,2,1,0,0,0,0,0,0,0,0,1
4.4942155917705335,3,0,0,0,0,0,0,0,0,0,0,0
4.690851315812487,3,1,1,0,0,0,0,0,0,1,0,0
4.70391442404172,3,2,0,0,0,0,0,0,0,0,1,0
5.120367324950771,3,1,0,0,1,0,0,0,0,0,0,0
5.299855553741962,3,1,1,0,0,0,0,1,0,0,0,0
5.685952277285656,3,1,1,0,0,0,0,1,0,0,0,0
7.118629932852037,3,0,0,0,0,0,1,0,0,0,0,0
3.927487283253509,3,1,1,0,0,0,0,0,0,0,0,1
2.713606229797141,3,2,0,0,0,0,0,0,0,0,0,0
4.720923030472618,3,2,1,0,0,0,0,0,0,0,1,0
4.39770855862053,3,1,0,1,0,0,0,0,1,0,0,0
4.504585927801321,3,2,1,0,0,0,0,0,0,0,0,0
3.8920400926383127,3,1,0,0,0,0,0,0,0,1,0,0
4.30249375515934,3,0,0,0,1,0,0,0,0,0,0,0
5.100500166175371,3,1,0,0,0,0,0,0,0,0,0,0
4.499217968222273,3,1,1,0,0,0,0,0,0,0,0,1
5.492759539855828,3,1,1,0,0,0,0,1,0,0,0,0
3.901230582539813,3,0,0,0,1,0,0,0,0,0,0,0
4.0862523336411725,3,2,0,0,1,0,0,0,0,0,0,1
1.4999949,3,2,0,0,0,1,0,0,0,0,1,0
5.3000235999999985,3,1,1,0,0,0,0,1,0,0,0,0
4.299976999999998,3,2,0,1,0,0,0,0,1,0,0,0
7.1001077000000015,3,1,0,0,0,0,1,1,0,0,0,0
5.100014,3,2,0,0,1,0,0,1,0,0,0,0
0.35625148,4,2,0,0,0,1,0,0,1,0,0,0
2.6999795,3,2,0,0,0,1,0,1,0,0,0,0
0.5062525,5,4,1,0,0,0,0,0,0,0,1,0
1.4999949,3,1,0,0,1,0,0,0,0,0,1,0
0.20625044,4,2,0,0,1,0,0,0,0,0,0,1
0.35625148,4,3,0,0,0,1,0,0,0,0,1,0
0.2437507,4,1,1,0,0,0,0,0,0,0,1,0
0.8062545999999999,6,5,1,0,0,0,0,1,0,0,0,0
3.899964,3,1,0,0,1,0,0,0,1,0,0,0
0.7312541,4,1,0,0,1,0,0,1,0,0,0,0
0.39375174,5,4,0,0,0,0,1,0,0,1,0,0
1.8999897,3,2,0,0,1,0,0,0,0,0,1,0
1.4999949,3,1,0,0,0,0,1,0,1,0,0,0
1.4999949,3,2,0,0,0,0,1,0,0,1,0,0
0.76875436,5,4,0,0,1,0,0,1,0,0,0,0
4.0999675,3,2,0,0,1,0,0,0,0,0,0,1
0.5062525,5,4,0,1,0,0,0,0,0,0,1,0
0.9000011,3,1,0,0,0,1,0,0,0,1,0,0
4.499986,3,1,0,1,0,0,0,0,1,0,0,0
1.068751,4,3,0,1,0,0,0,1,0,0,0,0
1.0312537,4,3,0,0,1,0,0,1,0,0,0,0
3.899964,3,1,1,0,0,0,0,0,0,0,0,1
4.0999675,3,1,1,0,0,0,0,0,0,0,1,0
0.8062545999999999,4,1,0,1,0,0,0,1,0,0,0,0
0.5062525,4,2,0,0,1,0,0,0,1,0,0,0
0.8062545999999999,5,4,0,1,0,0,0,1,0,0,0,0
0.5437528,6,1,0,0,1,0,0,1,0,0,0,0
5.7000422,3,2,1,0,0,0,0,1,0,0,0,0
4.6999955,3,2,1,0,0,0,0,0,0,1,0,0
1.8999897,3,2,0,0,0,0,1,0,1,0,0,0
0.58125305,4,2,0,0,0,0,1,0,1,0,0,0
0.46875226,4,2,1,0,0,0,0,0,0,0,0,1
4.499986,3,2,1,0,0,0,0,0,1,0,0,0
0.5437528,6,3,0,0,1,0,0,1,0,0,0,0
4.299976999999998,3,1,0,0,1,0,0,1,0,0,0,0
0.46875226,4,2,1,0,0,0,0,0,0,0,1,0
3.899964,3,1,0,1,0,0,0,0,0,0,1,0
0.99375594,4,3,1,0,0,0,0,0,0,1,0,0
1.0312537,4,1,0,0,0,1,0,1,0,0,0,0
4.6999955,3,2,1,0,0,0,0,0,0,0,1,0
0.69375384,4,1,0,0,0,1,0,0,1,0,0,0
3.899964,3,1,0,1,0,0,0,0,0,1,0,0
4.499986,3,2,1,0,0,0,0,0,0,0,0,1
0.35625148,6,5,0,0,0,1,0,0,1,0,0,0
3.899964,3,1,1,0,0,0,0,0,0,1,0,0
