class,pgain,vgain,motor_A,motor_B,motor_C,motor_D,motor_E,screw_A,screw_B,screw_C,screw_D,screw_E
2.702766912830232,3,1,0,0,0,0,0,0,0,0,0,0
3.915793293840741,3,1,0,1,0,0,0,0,0,0,1,0
3.9024943739229183,3,0,0,0,0,0,0,0,0,0,0,0
3.9021218645409026,3,1,1,0,0,0,0,0,0,0,0,0
3.9032396785149843,3,1,0,0,0,0,0,0,0,0,0,0
3.902948936071662,3,0,0,0,0,0,0,0,1,0,0,0
4.088261345123516,3,0,0,0,0,0,0,0,0,0,0,0
4.105589090061633,3,2,0,0,1,0,0,0,0,0,0,1
4.296650422928591,3,1,0,1,0,0,0,0,0,0,0,0
4.298284218414312,3,1,0,0,0,0,0,1,0,0,0,0
4.48731632284229,3,2,1,0,0,0,0,0,1,0,0,0
4.47953651161594,3,2,1,0,0,0,0,0,0,0,0,0
4.39770855862053,3,1,0,1,0,0,0,0,1,0,0,0
4.70219907360276,3,1,0,0,0,0,0,0,0,0,0,0
4.719263874935117,3,2,1,0,0,0,0,0,0,0,0,0
5.105393165355864,3,1,0,0,0,0,0,0,0,0,0,0
5.3050952045627815,3,1,1,0,0,0,0,1,0,0,0,0
5.492759539855828,3,1,1,0,0,0,0,1,0,0,0,0
7.09284139744751,3,1,0,0,0,0,1,0,0,0,0,0
3.904386519116245,3,0,0,1,0,0,0,0,0,0,0,0
4.49928257899077,3,0,0,0,0,0,0,0,0,0,0,0
3.906290939484474,3,1,1,0,0,0,0,0,0,0,0,0
5.700894245227358,3,1,0,0,0,0,0,1,0,0,0,0
3.890604720676977,3,1,0,0,0,0,0,0,0,0,0,0
5.291884453514241,3,1,1,0,0,0,0,1,0,0,0,0
5.096132204822896,3,2,0,0,0,0,0,0,0,0,0,0
4.695316662784346,3,2,0,0,0,0,0,0,0,0,1,0
4.1175130073952975,3,1,0,0,0,0,0,0,0,0,0,0
4.297449894413386,3,1,0,0,1,0,0,1,0,0,0,0
4.507946362285098,3,1,0,0,0,0,0,0,0,0,0,0
3.8950123717043796,3,0,0,0,0,0,0,0,1,0,0,0
0.7312541,4,3,0,0,0,1,0,1,0,0,0,0
5.3000235999999985,3,1,1,0,0,0,0,1,0,0,0,0
0.58125305,4,1,0,1,0,0,0,0,1,0,0,0
0.5062525,4,2,0,1,0,0,0,0,0,1,0,0
4.299976999999998,3,2,0,1,0,0,0,0,1,0,0,0
7.1001077000000015,3,1,0,0,0,0,1,1,0,0,0,0
5.100014,3,2,0,0,1,0,0,1,0,0,0,0
2.6999795,3,2,0,0,0,1,0,1,0,0,0,0
0.35625148,4,1,1,0,0,0,0,0,0,1,0,0
0.5062525,5,4,0,0,1,0,0,0,0,1,0,0
0.28125095,4,1,0,0,0,0,1,0,0,1,0,0
1.4999949,3,1,0,0,1,0,0,0,0,0,1,0
1.1062483,4,3,0,1,0,0,0,0,0,0,0,1
0.20625044,4,2,0,0,1,0,0,0,0,0,0,1
0.69375384,5,3,1,0,0,0,0,1,0,0,0,0
3.899964,3,1,0,0,1,0,0,0,1,0,0,0
0.8062545999999999,4,3,0,0,0,0,1,0,0,1,0,0
1.8999897,3,2,0,0,1,0,0,0,0,0,1,0
1.0312537,4,3,1,0,0,0,0,0,1,0,0,0
0.58125305,5,4,0,0,0,0,1,1,0,0,0,0
1.4999949,3,2,0,0,0,0,1,0,0,1,0,0
4.0999675,3,2,0,0,1,0,0,0,0,0,0,1
0.5062525,5,4,0,1,0,0,0,0,0,0,1,0
0.9000011,3,1,0,0,0,1,0,0,0,1,0,0
0.39375174,4,2,0,1,0,0,0,0,0,0,1,0
4.499986,3,1,0,1,0,0,0,0,1,0,0,0
1.0312537,4,3,0,0,1,0,0,1,0,0,0,0
3.899964,3,1,1,0,0,0,0,0,0,0,0,1
4.0999675,3,1,1,0,0,0,0,0,0,0,1,0
0.9187554,4,3,0,0,1,0,0,0,0,1,0,0
0.5062525,6,5,1,0,0,0,0,0,0,1,0,0
5.7000422,3,2,1,0,0,0,0,1,0,0,0,0
4.6999955,3,2,1,0,0,0,0,0,0,1,0,0
0.58125305,4,2,0,0,0,0,1,0,1,0,0,0
0.46875226,4,2,1,0,0,0,0,0,0,0,0,1
4.499986,3,2,1,0,0,0,0,0,1,0,0,0
1.2999974,3,2,0,0,0,1,0,0,0,1,0,0
0.5437528,6,3,0,0,1,0,0,1,0,0,0,0
4.299976999999998,3,1,0,0,1,0,0,1,0,0,0,0
0.431252,4,1,0,0,1,0,0,0,1,0,0,0
0.46875226,6,5,0,0,1,0,0,0,0,0,0,1
3.899964,3,1,0,1,0,0,0,0,0,0,1,0
1.0312537,4,1,0,0,0,1,0,1,0,0,0,0
4.6999955,3,2,1,0,0,0,0,0,0,0,1,0
0.46875226,5,4,0,1,0,0,0,0,0,1,0,0
0.69375384,4,1,0,0,0,1,0,0,1,0,0,0
3.899964,3,1,0,1,0,0,0,0,0,1,0,0
0.2437507,4,2,0,0,1,0,0,0,0,0,1,0
4.499986,3,2,1,0,0,0,0,0,0,0,0,1
3.899964,3,1,1,0,0,0,0,0,0,1,0,0
