class,pgain,vgain,motor_A,motor_B,motor_C,motor_D,motor_E,screw_A,screw_B,screw_C,screw_D,screw_E
1.4999949,3,2,0,0,0,1,0,0,0,0,1,0
0.7312541,4,3,0,0,0,1,0,1,0,0,0,0
5.300023599999999,3,1,1,0,0,0,0,1,0,0,0,0
0.58125305,4,1,0,1,0,0,0,0,1,0,0,0
0.76875436,4,2,0,0,1,0,0,1,0,0,0,0
0.5062525,4,2,0,1,0,0,0,0,0,1,0,0
0.58125305,6,5,1,0,0,0,0,0,1,0,0,0
4.299976999999999,3,2,0,1,0,0,0,0,1,0,0,0
7.100107700000001,3,1,0,0,0,0,1,1,0,0,0,0
5.100014,3,2,0,0,1,0,0,1,0,0,0,0
0.35625148,4,2,0,0,0,1,0,0,1,0,0,0
2.6999795,3,2,0,0,0,1,0,1,0,0,0,0
0.35625148,4,1,1,0,0,0,0,0,0,1,0,0
0.5062525,5,4,0,0,1,0,0,0,0,1,0,0
0.28125095,4,1,0,0,0,0,1,0,0,1,0,0
0.5062525,5,4,1,0,0,0,0,0,0,0,1,0
0.431252,4,2,0,0,0,0,1,0,0,0,1,0
0.28125095,4,1,0,1,0,0,0,0,0,1,0,0
1.4999949,3,1,0,0,1,0,0,0,0,0,1,0
1.1062483,4,3,0,1,0,0,0,0,0,0,0,1
0.20625044,4,2,0,0,1,0,0,0,0,0,0,1
0.35625148,4,3,0,0,0,1,0,0,0,0,1,0
0.58125305,6,5,0,0,0,0,1,1,0,0,0,0
0.5437528,5,4,0,1,0,0,0,0,1,0,0,0
0.9000011,3,2,0,0,0,1,0,0,0,0,0,1
0.69375384,5,3,1,0,0,0,0,1,0,0,0,0
0.24375070000000001,4,1,1,0,0,0,0,0,0,0,1,0
0.8062545999999999,6,5,1,0,0,0,0,1,0,0,0,0
0.99375594,4,2,0,0,0,0,1,1,0,0,0,0
0.39375174,6,5,0,0,0,0,1,0,0,1,0,0
3.8999639999999998,3,1,0,0,1,0,0,0,1,0,0,0
0.8062545999999999,4,3,0,0,0,0,1,0,0,1,0,0
0.7312541,4,1,0,0,1,0,0,1,0,0,0,0
0.39375174,5,4,0,0,0,0,1,0,0,1,0,0
1.8999897000000001,3,2,0,0,1,0,0,0,0,0,1,0
1.0312537,4,3,1,0,0,0,0,0,1,0,0,0
0.5062525,4,2,0,0,0,0,1,0,0,0,0,1
0.5062525,6,5,0,0,1,0,0,0,0,1,0,0
1.4999949,3,1,0,0,0,0,1,0,1,0,0,0
0.58125305,5,4,0,0,0,0,1,1,0,0,0,0
1.2999973999999999,3,1,0,0,1,0,0,0,0,0,0,1
1.4999949,3,2,0,0,0,0,1,0,0,1,0,0
0.88125515,4,3,0,0,1,0,0,0,1,0,0,0
0.76875436,5,4,0,0,1,0,0,1,0,0,0,0
4.0999675,3,2,0,0,1,0,0,0,0,0,0,1
0.5062525,5,4,0,1,0,0,0,0,0,0,1,0
0.9000011,3,1,0,0,0,1,0,0,0,1,0,0
0.9187554,4,3,0,0,0,0,1,0,0,0,1,0
0.39375174,4,2,0,1,0,0,0,0,0,0,1,0
4.499986,3,1,0,1,0,0,0,0,1,0,0,0
1.068751,4,3,0,1,0,0,0,1,0,0,0,0
0.5062525,6,5,0,1,0,0,0,0,0,0,1,0
0.99375594,4,3,0,1,0,0,0,0,1,0,0,0
1.1,3,2,0,0,0,0,1,0,0,0,0,1
1.0312537,4,3,0,0,1,0,0,1,0,0,0,0
3.8999639999999998,3,1,1,0,0,0,0,0,0,0,0,1
4.0999675,3,1,1,0,0,0,0,0,0,0,1,0
0.20625044,4,1,0,1,0,0,0,0,0,0,0,1
0.9187554,4,3,0,0,1,0,0,0,0,1,0,0
0.8062545999999999,4,1,0,1,0,0,0,1,0,0,0,0
0.5437528,6,2,0,0,1,0,0,1,0,0,0,0
0.28125095,6,5,0,0,0,0,1,0,0,0,0,1
0.431252,5,4,0,0,0,1,0,1,0,0,0,0
0.5062525,6,5,1,0,0,0,0,0,0,1,0,0
0.5062525,4,2,0,0,1,0,0,0,1,0,0,0
0.8062545999999999,5,4,0,1,0,0,0,1,0,0,0,0
0.8437549000000001,4,3,0,0,0,0,1,0,0,0,0,1
0.5437528,6,1,0,0,1,0,0,1,0,0,0,0
5.7000421999999995,3,2,1,0,0,0,0,1,0,0,0,0
0.46875226,6,5,0,1,0,0,0,0,0,0,0,1
