feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,y
1.5766745,1.037844,-1.2445645,1.284602,1.5527828,-0.9757859,0.59325945,0.48944536,-2.93338,-1.8738067,-14.250094413757324
-0.24574609,2.3909285,1.3465066,1.7991285,-0.99904907,-0.36165053,-0.66486114,-0.30509603,-0.28348064,1.9299654,74.17326354980469
-1.3148729,0.9261829,0.7104696,0.4812697,-0.15396756,0.56984425,-0.8593700999999999,-0.77570903,0.011759283,0.7154765999999999,64.09383392333984
-1.4120718,0.47149155,-1.0599486,0.9823776,-2.498441,1.5477326,-1.925338,-0.4766187,-0.21521856,-1.388319,54.6752815246582
0.44514987,-1.7828886999999998,1.7785093,1.1335961,-0.41622603,-0.6667624,-0.45549646,-0.68284804,0.95048386,-1.6314423999999998,-25.76150703430176
0.012951348,-1.207337,-0.8560594000000001,-1.1579124,-1.1010103,-1.3132132,-1.0860186,-0.0054750824,0.73846465,-1.3526195,-25.77155494689941
-1.3359168,-2.8137665000000003,-0.5452949,-2.4622693,-0.10420363,0.041344497,-1.2071187,0.039283697,0.7774674,-0.9903346,-29.727191925048828
-2.0162768,-0.18043414,-0.8626946,1.6618341,-0.16377078,2.0891066,-0.49073035,-2.1499178,0.3852334,1.1663966,70.66997528076172
-0.7661609,-0.54276943,1.5304031,-1.5006195,-0.052735634,1.2564697,0.13420087,0.09306176,-0.908955,1.5340077,54.9191780090332
-1.4050752,1.2793843,-0.4762123,1.1416173,-0.95207286,-1.4279944,-0.3812746,-1.8313175,0.22179255,1.4773344,62.66073989868164
-0.24497494,-0.5144006,1.56858,-0.95705366,-0.13788474,-2.088019,-0.045448083,0.65057796,0.68241215,-0.95058537,-31.12540626525879
-1.3959335,0.47038093,0.47122428,0.29759496,0.8011807,1.1077834,0.16285613,-0.70460826,-1.6025301,0.19974402,75.00934600830078
-2.981976,-0.4016508,0.6066326999999999,0.37573168,-0.5375363000000001,1.1341559,-0.24110344,-0.71534735,0.44355482,0.5752588000000001,69.32756042480469
0.43689495,0.5826081,-0.10808514,1.1485603000000002,-0.8798360000000001,-1.9609507,-0.5912894000000001,0.30459207,0.33822864,-1.9814959,-23.40936851501465
2.1939518,-1.3233746000000002,1.3650824,0.0033154797,-1.1090886999999998,-0.7232039000000001,-1.7538853,-1.172683,0.32052240000000004,-1.652562,-24.63384056091309
-1.044922,-2.9823782000000003,-0.85571057,0.51629835,1.2062371,0.5792175,1.674068,1.275311,0.32984433,-1.7734408,-24.580608367919922
0.13046958,-0.27124122,1.737154,-1.5333402,1.8172077,-0.1726071,1.0711505,0.917589,0.84245527,-1.5226327,-18.715084075927734
